Journal,Title,Link,Category,Year
RES,﻿Estimation of Dynamic Discrete Choice Models in Continuous Time with an Application to Retail Competition,https://doi.org/10.1093/restud/rdw012,Dynamic Discrete Choice,2016
RES,On the Iterated Estimation of Dynamic Discrete Choice Games,https://doi.org/10.1093/restud/rdaa032,Dynamic Discrete Choice,2020
RES,Temporal-Difference Estimation of Dynamic Discrete Choice Models,https://doi.org/10.1093/restud/rdaf081,Dynamic Discrete Choice,2025
RES,Efficient Conservation of the Brazilian Amazon: Estimates from a Dynamic Model,https://doi.org/10.1093/restud/rdaf031,Dynamic Discrete Choice,2025
RES,Identification of Time-Inconsistent Models: The Case of Insecticide-Treated Nets ,https://doi.org/10.1093/restud/rdag018,Dynamic Discrete Choice,2026
RES,Efficient and Convergent Sequential Pseudo-Likelihood Estimation of Dynamic Discrete Games,https://doi.org/10.1093/restud/rdae050,Dynamic Discrete Choice,2024
RES,"Immigration, Wages, and Education: A Labour Market Equilibrium Structural Model",https://doi.org/10.1093/restud/rdx053,Dynamic Discrete Choice,2017
RES,Welfare Effects of Dynamic Matching: An Empirical Analysis,https://doi.org/10.1093/restud/rdab048,Dynamic Discrete Choice,2021
RES,Semiparametric Inference in Dynamic Binary Choice Models,https://doi.org/10.1093/restud/rdt050,Dynamic Discrete Choice,2013
RES,A Simulation Estimator for Dynamic Models of Discrete Choice,https://doi.org/10.2307/2297981,Dynamic Discrete Choice,1994
RES,An Instrumental Variable Approach to Dynamic Models,https://doi.org/10.1093/restud/rdac061,Dynamic Discrete Choice,2022
RES,Asymptotic Efficiency of Semiparametric Two-step GMM,https://doi.org/10.1093/restud/rdu011,Dynamic Discrete Choice,2014
RES,"Mergers, Innovation, and Entry-Exit Dynamics: Consolidation of the Hard Disk Drive Industry, 1996–2016",https://doi.org/10.1093/restud/rdz044,Dynamic Discrete Choice,2019
RES,Conditional Choice Probabilities and the Estimation of Dynamic Models,https://doi.org/10.2307/2298122,Dynamic Discrete Choice,1993
RES,Extended Gravity,https://doi.org/10.1093/restud/rdz007,Dynamic Discrete Choice,2019
RES,Yogurts Choose Consumers? Estimation of Random-Utility Models via Two-Sided Matching,https://doi.org/10.1093/restud/rdac006,Dynamic Discrete Choice,2022
RES,Cupid’s Invisible Hand: Social Surplus and Identification in Matching Models,https://doi.org/10.1093/restud/rdab090,Dynamic Discrete Choice,2021
RES,Asymptotic Least Squares Estimators for Dynamic Games,https://doi.org/10.1111/j.1467-937X.2008.00496.x,Dynamic Discrete Choice,2008
RES,Dynamic Labour Force Participation of Married Women and Endogenous Work Experience,https://doi.org/10.2307/2297553,Dynamic Discrete Choice,1989
RES,Normalizations and Misspecification in Skill Formation Models,https://doi.org/10.1093/restud/rdaf078,Dynamic Discrete Choice,2025
RES,"Salience, Myopia, and Complex Dynamic Incentives: Evidence from Medicare Part D",https://doi.org/10.1093/restud/rdz023,Dynamic Discrete Choice,2019
RES,Assessing Racial and Educational Segmentation in Large Marriage Markets,https://doi.org/10.1093/restud/rdae115,Dynamic Discrete Choice,2024
RES,An Experiment on Time Preference and Misprediction in Unpleasant Tasks,https://doi.org/10.1093/restud/rdy019,Dynamic Discrete Choice,2018
RES,Pairwise-Difference Estimation of a Dynamic Optimization Model,https://doi.org/10.1111/j.1467-937X.2009.00576.x,Dynamic Discrete Choice,2010
RES,Non-parametric Analysis of Time-Inconsistent Preferences,https://doi.org/10.1093/restud/rdaa089,Dynamic Discrete Choice,2021
RES,"Diversification, Market Entry, and the Global Internet Backbone ",https://doi.org/10.1093/restud/rdaf097,Dynamic Discrete Choice,2025
RES,Inefficient Automation,https://doi.org/10.1093/restud/rdae019,Dynamic Discrete Choice,2024
RES,Deforestation in the Amazon: A Unified Framework for Estimation and Policy Analysis,https://doi.org/10.1093/restud/rdy070,Dynamic Discrete Choice,2018
RES,Quick Job Entry or Long-Term Human Capital Development? The Dynamic Effects of Alternative Training Schemes,https://doi.org/10.1093/restud/rds022,Dynamic Discrete Choice,2012
RES,Optimal Pricing with Costly Adjustment: Evidence from Retail-Grocery Prices,https://doi.org/10.1111/1467-937X.00036,Dynamic Discrete Choice,1998
RES,The Illiquidity of Water Markets,https://doi.org/10.1093/restud/rdag004,Dynamic Discrete Choice,2026
RES,Estimation of Discrete Games with Weak Assumptions on Information,https://doi.org/10.1093/restud/rdac058,Dynamic Discrete Choice,2022
RES,Carbon Taxes and Climate Commitment with Non-constant Time Preference,https://doi.org/10.1093/restud/rdaa048,Dynamic Discrete Choice,2020
RES,Externalities and Benefit Design in Health Insurance,https://doi.org/10.1093/restud/rdz052,Dynamic Discrete Choice,2019
RES,Understanding the City Size Wage Gap,https://doi.org/10.1093/restud/rdr022,Dynamic Discrete Choice,2011
RES,The Effect of Work Experience on Female Wages and Labour Supply,https://doi.org/10.1111/1467-937X.00035,Dynamic Discrete Choice,1998
RES,Optimal Decision Rules When Payoffs are Partially Identified,https://doi.org/10.1093/restud/rdag017,Dynamic Discrete Choice,2026
RES,An Equilibrium Analysis of the Long-Term Care Insurance Market,https://doi.org/10.1093/restud/rdab075,Dynamic Discrete Choice,2021
RES,The Welfare Effects of Incentive Schemes,https://doi.org/10.1111/j.1467-937X.2008.00513.x,Dynamic Discrete Choice,2009
RES,Taste Variation in Discrete Choice Models,https://doi.org/10.1111/1467-937X.00201,Dynamic Discrete Choice,2002
RES,Measuring the Value of Children by Sex and Age Using a Dynamic Programming Model,https://doi.org/10.2307/2298033,Dynamic Discrete Choice,1995
RES,Identification and Estimation of Dynamic Games When Players’ Beliefs Are Not in Equilibrium,https://doi.org/10.1093/restud/rdz013,Dynamic Discrete Choice,2019
RES,Welfare Dependence and Self-Control: An Empirical Analysis,https://doi.org/10.1093/restud/rdx011,Dynamic Discrete Choice,2017
RES,Estimating Strategic Models of International Treaty Formation ,https://doi.org/10.1093/restud/rdv054,Dynamic Discrete Choice,2016
RES,Better Lucky Than Rich? Welfare Analysis of Automobile Licence Allocations in Beijing and Shanghai,https://doi.org/10.1093/restud/rdx067,Dynamic Discrete Choice,2017
RES,Detection and Impact of Industrial Subsidies: The Case of Chinese Shipbuilding,https://doi.org/10.1093/restud/rdx050,Dynamic Discrete Choice,2017
RES,Industrial Policy Implementation: Empirical Evidence from China’s Shipbuilding Industry,https://doi.org/10.1093/restud/rdaf011,Dynamic Discrete Choice,2025
RES,Split-panel Jackknife Estimation of Fixed-effect Models,https://doi.org/10.1093/restud/rdv007,Dynamic Discrete Choice,2015
RES,Learning by Doing vs. Learning About Match Quality: Can We Tell Them Apart?,https://doi.org/10.1111/j.1467-937X.2007.00430.x,Dynamic Discrete Choice,2007
RES,"Consumer Durables and Inertial Behaviour: Estimation and Aggregation of (S, s) Rules for Automobile Purchases",https://doi.org/10.1111/1467-937X.00149,Dynamic Discrete Choice,2000
RES,Simple Adaptive Size-Exact Testing for Full-Vector and Subvector Inference in Moment Inequality Models,https://doi.org/10.1093/restud/rdac015,Dynamic Discrete Choice,2022
RES,Dynamic Regulation with Firm Linkages: Evidence from Texas,https://doi.org/10.1093/restud/rdag013,Dynamic Discrete Choice,2026
RES,Moment Conditions for Dynamic Panel Logit Models with Fixed Effects ,https://doi.org/10.1093/restud/rdae097,Dynamic Discrete Choice,2024
RES,The Dynamics of Markups and Inventories in Retailing Firms,https://doi.org/10.1111/1467-937X.00088,Dynamic Discrete Choice,1999
RES,"The Dynamics of Return Migration, Human Capital Accumulation, and Wage Assimilation ",https://doi.org/10.1093/restud/rdac003,Dynamic Discrete Choice,2022
RES,Estimating Ethnic Preferences Using Ethnic Housing Quotas in Singapore,https://doi.org/10.1093/restud/rdt002,Dynamic Discrete Choice,2013
RES,"Health, Risky Behaviour and the Value of Medical Innovation for Infectious Disease",https://doi.org/10.1093/restud/rdv053,Dynamic Discrete Choice,2015
RES,The Heterogeneous Effects of Government Spending: It’s All About Taxes,https://doi.org/10.1093/restud/rdae032,Dynamic Discrete Choice,2024
