Journal,Title,Link,Category,Year
RES,Quick Job Entry or Long-Term Human Capital Development? The Dynamic Effects of Alternative Training Schemes,https://doi.org/10.1093/restud/rds022,Dynamic Treatment,2012
RES,Subsidizing Labour Hoarding in Recessions: The Employment and Welfare Effects of Short-time Work ,https://doi.org/10.1093/restud/rdac069,Dynamic Treatment,2022
RES,"Job Displacement, Unemployment Benefits and Domestic Violence ",https://doi.org/10.1093/restud/rdaf004,Dynamic Treatment,2025
RES,A More Credible Approach to Parallel Trends,https://doi.org/10.1093/restud/rdad018,Dynamic Treatment,2023
RES,The Causal Impact of Socio-Emotional Skills Training on Educational Success ,https://doi.org/10.1093/restud/rdae018,Dynamic Treatment,2024
RES,Asymptotic Least Squares Estimators for Dynamic Games,https://doi.org/10.1111/j.1467-937X.2008.00496.x,Dynamic Treatment,2008
RES,An Instrumental Variable Approach to Dynamic Models,https://doi.org/10.1093/restud/rdac061,Dynamic Treatment,2022
RES,Revisiting Event-Study Designs: Robust and Efficient Estimation ,https://doi.org/10.1093/restud/rdae007,Dynamic Treatment,2024
RES,"Simple Transaction Models, Information and Computing",https://doi.org/10.2307/2295735,Dynamic Treatment,1951
RES,Semiparametric Inference in Dynamic Binary Choice Models,https://doi.org/10.1093/restud/rdt050,Dynamic Treatment,2013
RES,Is the Social Safety Net a Long-Term Investment? Large-Scale Evidence From the Food Stamps Program,https://doi.org/10.1093/restud/rdad063,Dynamic Treatment,2023
RES,Fines and Financial Wellbeing,https://doi.org/10.1093/restud/rdae111,Dynamic Treatment,2024
RES,Quasi-Experimental Shift-Share Research Designs,https://doi.org/10.1093/restud/rdab030,Dynamic Treatment,2021
RES,"Investing in Influence: Investors, Portfolio Firms, and Political Giving ",https://doi.org/10.1093/restud/rdag010,Dynamic Treatment,2026
RES,Exploiting Growth Opportunities: The Role of Internal Labour Markets,https://doi.org/10.1093/restud/rdad094,Dynamic Treatment,2023
RES,Are Executives in Short Supply? Evidence from Death Events ,https://doi.org/10.1093/restud/rdad027,Dynamic Treatment,2023
RES,The Effects of Partial Employment Protection Reforms: Evidence from Italy,https://doi.org/10.1093/restud/rdad012,Dynamic Treatment,2023
RES,"Property Rights, Land Misallocation, and Agricultural Efficiency in China",https://doi.org/10.1093/restud/rdaa072,Dynamic Treatment,2020
RES,Taxes Depress Corporate Borrowing: Evidence from Private Firms,https://doi.org/10.1093/restud/rdaf094,Dynamic Treatment,2025
RES,Understanding the City Size Wage Gap,https://doi.org/10.1093/restud/rdr022,Dynamic Treatment,2011
RES,Optimal Environmental Targeting in the Amazon Rainforest,https://doi.org/10.1093/restud/rdac064,Dynamic Treatment,2022
RES,State Building in a Diverse Society,https://doi.org/10.1093/restud/rdae116,Dynamic Treatment,2024
RES,The Value of Unemployment Insurance,https://doi.org/10.1093/restud/rdaa086,Dynamic Treatment,2021
