Journal,Title,Link,Category,Year
RES,﻿Revisiting Event-Study Designs: Robust and Efficient Estimation ,https://doi.org/10.1093/restud/rdae007,Mediation,2024
RES,A More Credible Approach to Parallel Trends,https://doi.org/10.1093/restud/rdad018,Mediation,2023
RES,"The U.S., Economic News, and the Global Financial Cycle",https://doi.org/10.1093/restud/rdaf020,Mediation,2025
RES,The Child Penalty Atlas ,https://doi.org/10.1093/restud/rdae104,Mediation,2024
RES,Fines and Financial Wellbeing,https://doi.org/10.1093/restud/rdae111,Mediation,2024
RES,Minimum Wage Employment Effects and Labour Market Concentration,https://doi.org/10.1093/restud/rdad091,Mediation,2023
RES,The Effects of Partial Employment Protection Reforms: Evidence from Italy,https://doi.org/10.1093/restud/rdad012,Mediation,2023
RES,Is the Social Safety Net a Long-Term Investment? Large-Scale Evidence From the Food Stamps Program,https://doi.org/10.1093/restud/rdad063,Mediation,2023
RES,Taxes Depress Corporate Borrowing: Evidence from Private Firms,https://doi.org/10.1093/restud/rdaf094,Mediation,2025
RES,Untying the Knot: How Child Support and Alimony Affect Couples’ Dynamic Decisions and Welfare,https://doi.org/10.1093/restud/rdae105,Mediation,2024
RES,Policy Diffusion and Polarization across U.S. States,https://doi.org/10.1093/restud/rdaf070,Mediation,2025
RES,How the Other Half Died: Immigration and Mortality in U.S. Cities,https://doi.org/10.1093/restud/rdad035,Mediation,2023
RES,How Quantitative Easing Works: Evidence on the Refinancing Channel,https://doi.org/10.1093/restud/rdz060,Mediation,2019
RES,What’s My Employee Worth? The Effects of Salary Benchmarking,https://doi.org/10.1093/restud/rdaf083,Mediation,2025
RES,Regulating Carry Trades: Evidence from Foreign Currency Borrowing of Corporations in India,https://doi.org/10.1093/restud/rdae089,Mediation,2024
RES,Jumpstarting an International Currency ,https://doi.org/10.1093/restud/rdag011,Mediation,2026
RES,Housing Market Responses to Transaction Taxes: Evidence From Notches and Stimulus in the U.K.,https://doi.org/10.1093/restud/rdx032,Mediation,2017
RES,"Killer Incentives: Rivalry, Performance and Risk-Taking among German Fighter Pilots, 1939–45",https://doi.org/10.1093/restud/rdab085,Mediation,2021
RES,Monopoly of Taxation Without a Monopoly of Violence: The Weak State’s Trade-Offs From Taxation,https://doi.org/10.1093/restud/rdae036,Mediation,2024
RES,The Returns to Nursing: Evidence from a Parental-Leave Program,https://doi.org/10.1093/restud/rdaa082,Mediation,2021
RES,The Returns to Nursing: Evidence from a Parental-Leave Program,https://doi.org/10.1093/restud/rdaa082,Mediation,2021
