Journal,Title,Link,Category,Year
RES,﻿The Long-term Effects of Africa's Slave Trades Purchased,https://doi.org/10.1162/qjec.2008.123.1.139,Long Term Effects,2008
RES,The Long-Term Effects of Universal Preschool in Boston Purchased,https://doi.org/10.1093/qje/qjac036,Long Term Effects,2022
RES,Long-Term Effects of Class Size Purchased,https://doi.org/10.1093/qje/qjs048,Long Term Effects,2012
RES,Adverse Selection in Dynamic Moral Hazard Purchased,https://doi.org/10.2307/2937915,Long Term Effects,1991
RES,"War Reparations, Structural Change, and Intergenerational Mobility Open Access",https://doi.org/10.1093/qje/qjae036,Long Term Effects,2024
RES,Does Integration Change Gender Attitudes? The Effect of Randomly Assigning Women to Traditionally Male Teams Purchased,https://doi.org/10.1093/qje/qjaa047,Long Term Effects,2020
RES,Civil War–Induced Displacement and Human Capital Open Access,https://doi.org/10.1093/qje/qjag009,Long Term Effects,2026
RES,A Unified Welfare Analysis of Government Policies Open Access,https://doi.org/10.1093/qje/qjaa006,Long Term Effects,2020
RES,War-Time Economic Controls Purchased,https://doi.org/10.2307/1884742,Long Term Effects,1944
RES,Does Head Start Improve Children's Life Chances? Evidence from a Regression Discontinuity Design Purchased,https://doi.org/10.1162/qjec.122.1.159,Long Term Effects,2007
RES,Do Doctors Practice Defensive Medicine? Purchased,https://doi.org/10.2307/2946682,Long Term Effects,1996
RES,The Impact of Population Growth on Agricultural Output Purchased,https://doi.org/10.2307/1884430,Long Term Effects,1975
RES,Preschool Television Viewing and Adolescent Test Scores: Historical Evidence from the Coleman Study Purchased,https://doi.org/10.1162/qjec.2008.123.1.279,Long Term Effects,2008
RES,The Effects of Taxation on the Selling of Corporate Stock and the Realization of Capital Gains: Comment Purchased,https://doi.org/10.2307/1885722,Long Term Effects,1984
RES,The Impact of Housing Assistance on Child Outcomes: Evidence from a Randomized Housing Lottery Purchased,https://doi.org/10.1093/qje/qju030,Long Term Effects,2014
RES,The Impact of Being Denied a Wanted Abortion on Women and Their Children Purchased,https://doi.org/10.1093/qje/qjaf006,Long Term Effects,2025
RES,Reshaping Global Trade: The Immediate and Long-Run Effects of Bank Failures Open Access,https://doi.org/10.1093/qje/qjac016,Long Term Effects,2022
RES,Does Welfare Prevent Crime? the Criminal Justice Outcomes of Youth Removed from Ssi Purchased,https://doi.org/10.1093/qje/qjac017,Long Term Effects,2022
RES,Origins of the Opioid Crisis and its Enduring Impacts Purchased,https://doi.org/10.1093/qje/qjab043,Long Term Effects,2021
RES,"Concessions, Violence, and Indirect Rule: Evidence from the Congo Free State Purchased",https://doi.org/10.1093/qje/qjab021,Long Term Effects,2021
RES,Investing in Infants: the Lasting Effects of Cash Transfers to New Families Purchased,https://doi.org/10.1093/qje/qjac023,Long Term Effects,2022
RES,"The Mission: Human Capital Transmission, Economic Persistence, and Culture in South America Purchased",https://doi.org/10.1093/qje/qjy024,Long Term Effects,2018
RES,Home Computer Use and the Development of Human Capital Purchased,https://doi.org/10.1093/qje/qjr008,Long Term Effects,2011
RES,Why Do People Stay Poor? Purchased,https://doi.org/10.1093/qje/qjab045,Long Term Effects,2021
RES,The Lifetime Impacts of the New Deal's Youth Employment Program Open Access,https://doi.org/10.1093/qje/qjae016,Long Term Effects,2024
RES,The Other Great Migration: Southern Whites and the New Right Purchased,https://doi.org/10.1093/qje/qjad014,Long Term Effects,2023
RES,Army Service in the All-Volunteer Era Purchased,https://doi.org/10.1093/qje/qjac026,Long Term Effects,2022
RES,AI-tocracy Purchased,https://doi.org/10.1093/qje/qjad012,Long Term Effects,2023
RES,Job Displacement and Mortality: An Analysis Using Administrative Data Purchased,https://doi.org/10.1162/qjec.2009.124.3.1265,Long Term Effects,2009
RES,Financial Crises and Risk Premia Purchased,https://doi.org/10.1093/qje/qjw045,Long Term Effects,2017
RES,The Socioeconomic Consequences of Teen Childbearing Reconsidered Purchased,https://doi.org/10.2307/2118385,Long Term Effects,1992
RES,The Economics of Liquidity Services Purchased,https://doi.org/10.2307/1880494,Long Term Effects,1972
RES,Economic Activity and the Spread of Viral Diseases: Evidence from High Frequency Data Purchased,https://doi.org/10.1093/qje/qjw005,Long Term Effects,2016
RES,Ideas Have Consequences: The Impact of Law and Economics on American Justice Open Access,https://doi.org/10.1093/qje/qjaf042,Long Term Effects,2025
RES,Double for Nothing? Experimental Evidence on an Unconditional Teacher Salary Increase in Indonesia Purchased,https://doi.org/10.1093/qje/qjx040,Long Term Effects,2017
RES,Lives Versus Livelihoods: The Impact of the Great Recession on Mortality and Welfare Open Access,https://doi.org/10.1093/qje/qjaf023,Long Term Effects,2025
RES,More Power to the Pill: The Impact of Contraceptive Freedom on Women's Life Cycle Labor Supply Purchased,https://doi.org/10.1093/qje/121.1.289,Long Term Effects,2006
RES,Power to the People: Evidence from a Randomized Field Experiment on Community-Based Monitoring in Uganda Purchased,https://doi.org/10.1162/qjec.2009.124.2.735,Long Term Effects,2009
RES,The Effect of Arrests on the Employment and Earnings of Young Men Purchased,https://doi.org/10.2307/2118510,Long Term Effects,1995
RES,The Effects of Youth Employment: Evidence from New York City Lotteries Purchased,https://doi.org/10.1093/qje/qjv034,Long Term Effects,2015
RES,Manufacturing Revolutions: Industrial Policy and Industrialization in South Korea Open Access,https://doi.org/10.1093/qje/qjaf025,Long Term Effects,2025
RES,Bargaining in the Shadow of the Law: Divorce Laws and Family Distress Purchased,https://doi.org/10.1093/qje/121.1.267,Long Term Effects,2006
RES,"Inputs, Incentives, and Complementarities in Education: Experimental Evidence from Tanzania Open Access",https://doi.org/10.1093/qje/qjz010,Long Term Effects,2019
RES,Ramsey Meets Laibson in the Neoclassical Growth Model Purchased,https://doi.org/10.1162/003355399556232,Long Term Effects,1999
RES,Interfirm Relationships and Business Performance Open Access,https://doi.org/10.1093/qje/qjx049,Long Term Effects,2017
RES,Education and Human Capital Externalities: Evidence from Colonial Benin Purchased,https://doi.org/10.1093/qje/qjv004,Long Term Effects,2014
RES,Injecting Charter School Best Practices into Traditional Public Schools: Evidence from Field Experiments Purchased,https://doi.org/10.1093/qje/qju011,Long Term Effects,2014
RES,National Institutions and Subnational Development in Africa Purchased,https://doi.org/10.1093/qje/qjt029,Long Term Effects,2013
RES,How Do You Identify a Good Manager? Purchased,https://doi.org/10.1093/qje/qjag004,Long Term Effects,2026
RES,The Potato's Contribution to Population and Urbanization: Evidence From A Historical Experiment Purchased,https://doi.org/10.1093/qje/qjr009,Long Term Effects,2011
RES,Digital Collateral Purchased,https://doi.org/10.1093/qje/qjae003,Long Term Effects,2024
RES,Evolution vs. Creationism in the Classroom: The Lasting Effects of Science Education Open Access,https://doi.org/10.1093/qje/qjae019,Long Term Effects,2024
RES,The Role of Information and Social Interactions in Retirement Plan Decisions: Evidence from a Randomized Experiment Purchased,https://doi.org/10.1162/00335530360698432,Long Term Effects,2003
