Journal,Title,Link,Category,Year
RES,﻿Long-Term Effects of Childhood Nutrition: Evidence from a School Lunch Reform Open Access,https://doi.org/10.1093/restud/rdab028,Long Term Effects,2021
RES,Do The Effects of Nudges Persist? Theory and Evidence from 38 Natural Field ExperimentsGet access Arrow,https://doi.org/10.1093/restud/rdag012,Long Term Effects,2026
RES,The Causal Impact of Socio-Emotional Skills Training on Educational Success Open Access,https://doi.org/10.1093/restud/rdae018,Long Term Effects,2024
RES,Weak States: Causes and Consequences of the Sicilian MafiaGet access Arrow,https://doi.org/10.1093/restud/rdz009,Long Term Effects,2019
RES,Dutch Disease or Agglomeration? The Local Economic Effects of Natural Resource Booms in Modern AmericaGet access Arrow,https://doi.org/10.1093/restud/rdx042,Long Term Effects,2017
RES,Teachers’ Pay for Performance in the Long-Run: The Dynamic Pattern of Treatment Effects on Students’ Educational and Labour Market Outcomes in AdulthoodGet access Arrow,https://doi.org/10.1093/restud/rdaa002,Long Term Effects,2020
RES,Disease Control and Inequality Reduction: Evidence from a Tuberculosis Testing and Vaccination CampaignGet access Arrow,https://doi.org/10.1093/restud/rdaa022,Long Term Effects,2020
RES,A Dynamic Approach to the Theory of Consumer DemandGet access Arrow,https://doi.org/10.2307/2295761,Long Term Effects,1957
RES,Is the Social Safety Net a Long-Term Investment? Large-Scale Evidence From the Food Stamps ProgramGet access Arrow,https://doi.org/10.1093/restud/rdad063,Long Term Effects,2023
RES,The Slaughter of the Bison and Reversal of Fortunes on the Great PlainsGet access Arrow,https://doi.org/10.1093/restud/rdad060,Long Term Effects,2023
RES,Hazed and Confused: The Effect of Air Pollution on DementiaGet access Arrow,https://doi.org/10.1093/restud/rdac078,Long Term Effects,2022
RES,The Surrogate Index: Combining Short-Term Proxies to Estimate Long-Term Treatment Effects More Rapidly and Precisely Open Access,https://doi.org/10.1093/restud/rdaf087,Long Term Effects,2025
RES,Human Capital Development and Parental Investment in IndiaGet access Arrow,https://doi.org/10.1093/restud/rdaa026,Long Term Effects,2020
RES,"Migrants, Ancestors, and Foreign InvestmentsGet access Arrow",https://doi.org/10.1093/restud/rdy044,Long Term Effects,2018
RES,It’s Raining Men! Hallelujah? The Long-Run Consequences of Male-Biased Sex RatiosGet access Arrow,https://doi.org/10.1093/restud/rdy025,Long Term Effects,2018
RES,Parental Job Loss and Children's School PerformanceGet access Arrow,https://doi.org/10.1093/restud/rdr002,Long Term Effects,2011
RES,Immigrants and the Making of AmericaGet access Arrow,https://doi.org/10.1093/restud/rdz003,Long Term Effects,2019
RES,On Measuring the Variance-Age Profile of Lifetime EarningsGet access Arrow,https://doi.org/10.2307/2297152,Long Term Effects,1981
RES,A Variable-Parameter Model of Exporting BehaviourGet access Arrow,https://doi.org/10.2307/2296972,Long Term Effects,1977
RES,"The Impact of EITC on Education, Labour Market Trajectories, and InequalitiesGet access Arrow",https://doi.org/10.1093/restud/rdaf073,Long Term Effects,2025
RES,On the Origins of Property Rights: Conflict and Productionin the State of NatureGet access Arrow,https://doi.org/10.1111/j.1467-937X.2006.00371.x,Long Term Effects,2006
RES,Long-Run Effects of Lottery Wealth on Psychological Well-Being Open Access,https://doi.org/10.1093/restud/rdaa006,Long Term Effects,2020
RES,“High” Achievers? Cannabis Access and Academic PerformanceGet access Arrow,https://doi.org/10.1093/restud/rdx020,Long Term Effects,2017
RES,The Lifetime Costs of Bad HealthGet access Arrow,https://doi.org/10.1093/restud/rdae080,Long Term Effects,2024
RES,Getting Parents Involved: A Field Experiment in Deprived SchoolsGet access Arrow,https://doi.org/10.1093/restud/rdt027,Long Term Effects,2013
RES,On the Economic Origins of Concerns Over Women’s ChastityGet access Arrow,https://doi.org/10.1093/restud/rdae084,Long Term Effects,2024
RES,Improving Management with Individual and Group-Based Consulting: Results from a Randomized Experiment in ColombiaGet access Arrow,https://doi.org/10.1093/restud/rdab005,Long Term Effects,2021
RES,Quick Job Entry or Long-Term Human Capital Development? The Dynamic Effects of Alternative Training SchemesGet access Arrow,https://doi.org/10.1093/restud/rds022,Long Term Effects,2012
RES,Long-Term Impacts of Childhood Medicaid Expansions on Outcomes in Adulthood Free,https://doi.org/10.1093/restud/rdz039,Long Term Effects,2019
RES,A Model of Wage-Price InflationGet access Arrow,https://doi.org/10.2307/2297105,Long Term Effects,1980
RES,"Hours Constraints, Occupational Choice, and Gender: Evidence from Medical ResidentsGet access Arrow",https://doi.org/10.1093/restud/rdac042,Long Term Effects,2022
RES,"War Signals: A Theory of Trade, Trust, and ConflictGet access Arrow",https://doi.org/10.1093/restud/rdt003,Long Term Effects,2013
RES,Monetary Policy and Birth Rates: The Effect of Mortgage Rate Pass-Through on FertilityGet access Arrow,https://doi.org/10.1093/restud/rdad034,Long Term Effects,2023
RES,Convicting Corrupt Officials: Evidence from Randomly Assigned Cases Open Access,https://doi.org/10.1093/restud/rdae069,Long Term Effects,2024
RES,Which Investors Matter for Equity Valuations and Expected Returns?Get access Arrow,https://doi.org/10.1093/restud/rdad083,Long Term Effects,2023
RES,The Development Effects of the Extractive Colonial Economy: The Dutch Cultivation System in JavaGet access Arrow,https://doi.org/10.1093/restud/rdz017,Long Term Effects,2019
RES,Which Investors Matter for Equity Valuations and Expected Returns?Get access Arrow,https://doi.org/10.1093/restud/rdad083,Long Term Effects,2023
