Journal,Title,Link,Category,Year
QJE,"﻿Barnett and McCabe's Mediation, Investigation and Arbitration; Mote's Industrial ArbitrationGet access Arrow[a]",https://doi.org/10.2307/1883388,Nested Functionals,1917
QJE,Mediation and Arbitration of Railroad Wage Controversies: A Year's DevelopmentsGet access Arrow,https://doi.org/10.2307/1883627,Nested Functionals,1914
QJE,Labor Problems in the United States During the WarGet access Arrow,https://doi.org/10.2307/1885431,Nested Functionals,1918
QJE,A Walrasian Theory of Money and BarterGet access Arrow,https://doi.org/10.2307/2946705,Nested Functionals,1996
QJE,"Kinship, Cooperation, and the Evolution of Moral SystemsGet access Arrow",https://doi.org/10.1093/qje/qjz001,Nested Functionals,2019
QJE,The Locomotive Engineers' Arbitration: Its Antecedents and its OutcomeGet access Arrow,https://doi.org/10.2307/1881904,Nested Functionals,1913
QJE,The Nature and Scope of Collective BargainingGet access Arrow,https://doi.org/10.2307/1882846,Nested Functionals,1944
QJE,How Wide Is the Firm Border?Get access Arrow,https://doi.org/10.1093/qje/qjz026,Nested Functionals,2019
QJE,Violence against Women at WorkGet access Arrow,https://doi.org/10.1093/qje/qjad045,Nested Functionals,2023
QJE,Borrowed Reserves and Bank ExpansionGet access Arrow,https://doi.org/10.2307/1882535,Nested Functionals,1928
QJE,Measuring Beliefs and Rewards: A Neuroeconomic ApproachGet access Arrow,https://doi.org/10.1162/qjec.2010.125.3.923,Nested Functionals,2010
QJE,Changing Opportunity: Sociological Mechanisms Underlying Growing Class Gaps and Shrinking Race Gaps in Economic MobilityGet access Arrow,https://doi.org/10.1093/qje/qjaf057,Nested Functionals,2026
QJE,Home Computer Use and the Development of Human CapitalGet access Arrow,https://doi.org/10.1093/qje/qjr008,Nested Functionals,2011
QJE,Marginal Effects of Merit Aid for Low-Income StudentsGet access Arrow,https://doi.org/10.1093/qje/qjab050,Nested Functionals,2021
QJE,Does Taxing Business Owners Affect Employees? Evidence From A Change in the Top Marginal Tax RateGet access Arrow,https://doi.org/10.1093/qje/qjad040,Nested Functionals,2023
QJE,The National War Labor Board and Postwar Industrial RelationsGet access Arrow,https://doi.org/10.2307/1883293,Nested Functionals,1945
QJE,The Appropriate Bargaining Unit Question Under the Railway Labor ActGet access Arrow,https://doi.org/10.2307/1880782,Nested Functionals,1946
QJE,Industrial Arbitration in the United StatesGet access Arrow,https://doi.org/10.2307/1886008,Nested Functionals,1895
QJE,State Labor Relations ActsGet access Arrow,https://doi.org/10.2307/1883409,Nested Functionals,1942
QJE,Action under the Labor Arbitration ActsGet access Arrow,https://doi.org/10.2307/1879344,Nested Functionals,1887
QJE,Action under the Labor Arbitration ActsGet access Arrow,https://doi.org/10.2307/1879344,Nested Functionals,1887
QJE,Industrial Arbitration: Its Methods and Its LimitationsGet access Arrow,https://doi.org/10.2307/1883679,Nested Functionals,1896
QJE,Journal Article,https://doi.org/10.1093/qje/12.4.468-a,Nested Functionals,1898
QJE,On the Theory of NegotiationGet access Arrow,https://doi.org/10.2307/1884190,Nested Functionals,1958
QJE,"Information, Incentives, and Organizational ModeGet access Arrow",https://doi.org/10.2307/1885062,Nested Functionals,1987
QJE,Kemmerer's Modern Currency ReformsGet access Arrow,https://doi.org/10.2307/1883387,Nested Functionals,1917
QJE,A Radical Analysis of Welfare Economics and Individual DevelopmentGet access Arrow,https://doi.org/10.2307/1882043,Nested Functionals,1972
QJE,Journal Article,https://doi.org/10.1093/qje/12.4.468,Nested Functionals,1898
QJE,The Weighting Problem in Testing the Linkage HypothesisGet access Arrow,https://doi.org/10.2307/1884632,Nested Functionals,1976
QJE,The Theory of Domestic Content Protection and Content PreferenceGet access Arrow,https://doi.org/10.2307/1880742,Nested Functionals,1981
QJE,Waiting to PersuadeGet access Arrow,https://doi.org/10.1162/003355304772839579,Nested Functionals,2004
QJE,Journal Article,https://doi.org/10.1093/qje/12.4.467-a,Nested Functionals,1898
QJE,Journal Article,https://doi.org/10.1093/qje/2.3.351,Nested Functionals,1888
QJE,"Intermediate Goods, the Production Possibility Curve, and Gains from TradeGet access Arrow",https://doi.org/10.2307/1883998,Nested Functionals,1969
QJE,The Anatomy of Market FailureGet access Arrow,https://doi.org/10.2307/1882231,Nested Functionals,1958
QJE,Economic Value and Moral ValueGet access Arrow,https://doi.org/10.2307/1885234,Nested Functionals,1916
QJE,Equilibria with Communication in a Job Market ExampleGet access Arrow,https://doi.org/10.2307/2937792,Nested Functionals,1990
QJE,"Thinking, Fast and Slow? Some Field Experiments to Reduce Crime and Dropout in ChicagoGet access Arrow",https://doi.org/10.1093/qje/qjw033,Nested Functionals,2016
QJE,A Suggestion for a Theory of Industrial DepressionsGet access Arrow,https://doi.org/10.2307/1882323,Nested Functionals,1903
QJE,"Thinking, Fast and Slow? Some Field Experiments to Reduce Crime and Dropout in ChicagoGet access Arrow",https://doi.org/10.1093/qje/qjw033,Nested Functionals,2016
QJE,Latin American Trade Policies in the 1970's: ReplyGet access Arrow,https://doi.org/10.2307/1885269,Nested Functionals,1975
QJE,Neighborhood Effects on Crime for Female and Male Youth: Evidence from a Randomized Housing Voucher ExperimentGet access Arrow,https://doi.org/10.1162/0033553053327470,Nested Functionals,2005
QJE,Journal Article,https://doi.org/10.2307/1883764,Nested Functionals,1892
QJE,Standardizing the Wages of Railroad TrainmenGet access Arrow,https://doi.org/10.2307/1885828,Nested Functionals,1910
QJE,The Adjustment of Labor Disputes Incident to Production for War in the United StatesGet access Arrow,https://doi.org/10.2307/1885081,Nested Functionals,1917
QJE,Aristotle's Doctrine of BarterGet access Arrow,https://doi.org/10.2307/1883583,Nested Functionals,1895
QJE,A Balanced-Growth Version of the Linkage Hypothesis: A CommentGet access Arrow,https://doi.org/10.2307/1884634,Nested Functionals,1976
QJE,Factor Analysis and Growth: An Empirical TestGet access Arrow,https://doi.org/10.2307/1885936,Nested Functionals,1971
QJE,An Alternative Theory of Exchange Rate DynamicsGet access Arrow,https://doi.org/10.2307/1885630,Nested Functionals,1983
QJE,Scientific Management in the Operation of RailroadsGet access Arrow,https://doi.org/10.2307/1883615,Nested Functionals,1911
QJE,The Foreign ExchangesGet access Arrow,https://doi.org/10.2307/1885909,Nested Functionals,1922
QJE,Integration versus Outsourcing in Industry EquilibriumGet access Arrow,https://doi.org/10.1162/003355302753399454,Nested Functionals,2002
QJE,Intermediate Products and Differential Tariffs: A Generalization of Lerner's Symmetry TheoremGet access Arrow,https://doi.org/10.2307/1882917,Nested Functionals,1966
QJE,The Morale Effects of Pay InequalityGet access Arrow,https://doi.org/10.1093/qje/qjx041,Nested Functionals,2017
QJE,"Investments in United States Government Securities by Nonfinancial Corporations, 1952–56: ReplyGet access Arrow",https://doi.org/10.2307/1880603,Nested Functionals,1958
QJE,Equipment Investment and Economic Growth: ReplyGet access Arrow,https://doi.org/10.2307/2118423,Nested Functionals,1994
QJE,Indirect Taxes and Relative Prices: CommentGet access Arrow,https://doi.org/10.2307/1885902,Nested Functionals,1968
QJE,Journal Article,https://doi.org/10.1093/qje/11.3.317-a,Nested Functionals,1897
QJE,"Competition, Actual and TheoreticalGet access Arrow",https://doi.org/10.2307/1883424,Nested Functionals,1900
QJE,"... is unfortunate. An im• mediate illusory advantage, oftentimes confined to the em• ployer, misleads the judgment. The general wealth cannot, for COMPETITION, ACTUAL AND THEORETICAL 541 any considerable period, be promoted by that which depresses the agents of production. If such a thing were…",https://doi.org/10.1093/qje/68.1.155,Nested Functionals,1954
QJE,Journal Article,https://doi.org/10.1093/qje/27.1.208,Nested Functionals,1912
QJE,The Establishment-Level Behavior of Vacancies and HiringGet access Arrow,https://doi.org/10.1093/qje/qjt002,Nested Functionals,2013
QJE,Economic Impacts of New Unionization on Private Sector Employers: 1984–2001Get access Arrow,https://doi.org/10.1162/0033553042476189,Nested Functionals,2004
QJE,Journal Article,https://doi.org/10.1093/qje/60.2.309,Nested Functionals,1946
QJE,Municipal Ownership of Telephones in Great BritainGet access Arrow,https://doi.org/10.2307/1883591,Nested Functionals,1907
QJE,Journal Article,https://doi.org/10.1093/qje/66.3.460,Nested Functionals,1952
QJE,America's New Commercial Policy as Illustrated by our Commercial Relations with BrazilGet access Arrow,https://doi.org/10.2307/1884019,Nested Functionals,1924
QJE,Social and Economic Legislation of the States in 1892Get access Arrow,https://doi.org/10.2307/1883046,Nested Functionals,1893
QJE,The Demand for Monitoring Technologies: The Case of TruckingGet access Arrow,https://doi.org/10.1162/003355300554845,Nested Functionals,2000
QJE,Welfare Economics and Individual Development: A Reply to Talcott ParsonsGet access Arrow,https://doi.org/10.2307/1884434,Nested Functionals,1975
QJE,Long-Term Effects of Class SizeGet access Arrow,https://doi.org/10.1093/qje/qjs048,Nested Functionals,2012
QJE,Is Hospital Competition Socially Wasteful?Get access Arrow,https://doi.org/10.1162/003355300554863,Nested Functionals,2000
QJE,Implicit Theorizing: A Methodological Criticism of the Neo-Cambridge SchoolGet access Arrow,https://doi.org/10.2307/1882092,Nested Functionals,1937
QJE,Taxation of Railroad and Canal Property in New JerseyGet access Arrow,https://doi.org/10.2307/1882726,Nested Functionals,1906
QJE,Political Foundations of Racial Violence in the Post-Reconstruction SouthGet access Arrow,https://doi.org/10.1093/qje/qjaf045,Nested Functionals,2025
QJE,Lives Versus Livelihoods: The Impact of the Great Recession on Mortality and Welfare Open Access,https://doi.org/10.1093/qje/qjaf023,Nested Functionals,2025
QJE,The Tariff Act of 1922Get access Arrow,https://doi.org/10.2307/1885907,Nested Functionals,1922
QJE,The Existence of Self-Enforcing Implicit ContractsGet access Arrow,https://doi.org/10.2307/1884685,Nested Functionals,1987
QJE,Silver and Chinese Purchasing PowerGet access Arrow,https://doi.org/10.2307/1882828,Nested Functionals,1934
QJE,"... other? The real point of difference still remains, however. What- ever the situation may be in the rest of China, is it true that the course of prices in Shanghai can be explained in the main or even solely by the world commodity value of gold as mediated upon the wholesale price structure…",https://doi.org/10.1093/qje/27.4.708,Nested Functionals,1913
QJE,The Preconceptions of Economic ScienceGet access Arrow,https://doi.org/10.2307/1883645,Nested Functionals,1899
QJE,Ground Rents in PhiladelphiaGet access Arrow,https://doi.org/10.2307/1879416,Nested Functionals,1888
QJE,Factors in Industrial IntegrationGet access Arrow,https://doi.org/10.2307/1884026,Nested Functionals,1930
QJE,Analysis of Cost of ProductionGet access Arrow,https://doi.org/10.2307/1879343,Nested Functionals,1887
QJE,On Hicks's Concept of Perfect Stability in Multiple ExchangeGet access Arrow,https://doi.org/10.2307/1883727,Nested Functionals,1959
QJE,Journal Article,https://doi.org/10.2307/1881900,Nested Functionals,1898
QJE,Journal Article,https://doi.org/10.1093/qje/78.2.350,Nested Functionals,1964
QJE,The Socialist Economics of Karl Marx and his FollowersGet access Arrow,https://doi.org/10.2307/1882722,Nested Functionals,1906
QJE,Cyclic Pricing by a Durable Goods MonopolistGet access Arrow,https://doi.org/10.2307/1885961,Nested Functionals,1984
QJE,Marshall's Principles of EconomicsGet access Arrow,https://doi.org/10.2307/1879612,Nested Functionals,1891
