Journal,Title,Link,Category,Year
RES,﻿Mediation and Peace,https://doi.org/10.1093/restud/rdv022,Mediation,2015
RES,Communication and Learning,https://doi.org/10.1093/restud/rdr031,Mediation,2011
RES,Voluntary Disclosure in Asymmetric Contests ,https://doi.org/10.1093/restud/rdae001,Mediation,2024
RES,Electoral Rules and Political Selection: Theory and Evidence from a Field Experiment in Afghanistan,https://doi.org/10.1093/restud/rdw018,Mediation,2016
RES,"The Review of Economic Studies, Volume 83, Issue 3, July 2016, Pages 932–968, https://doi.org/10.1093/restud/rdw018",.,Mediation,Abstract
RES,Long-Run Effects of Lottery Wealth on Psychological Well-Being ,https://doi.org/10.1093/restud/rdaa006,Mediation,2020
RES,Property Rights and Efficiency of Voluntary Bargaining under Asymmetric Information,https://doi.org/10.1111/1467-937X.00103,Mediation,1999
RES,Teachers’ Pay for Performance in the Long-Run: The Dynamic Pattern of Treatment Effects on Students’ Educational and Labour Market Outcomes in Adulthood,https://doi.org/10.1093/restud/rdaa002,Mediation,2020
RES,The Revelation Principle in Multistage Games,https://doi.org/10.1093/restud/rdaa041,Mediation,2020
RES,The Value of Privacy in Cartels: An Analysis of the Inner Workings of a Bidding Ring ,https://doi.org/10.1093/restud/rdaf023,Mediation,2025
RES,The Causal Impact of Socio-Emotional Skills Training on Educational Success ,https://doi.org/10.1093/restud/rdae018,Mediation,2024
RES,The Surrogate Index: Combining Short-Term Proxies to Estimate Long-Term Treatment Effects More Rapidly and Precisely ,https://doi.org/10.1093/restud/rdaf087,Mediation,2025
RES,Anonymity or Distance? Job Search and Labour Market Exclusion in a Growing African City,https://doi.org/10.1093/restud/rdaa057,Mediation,2020
RES,Vacancy Durations and Entry Wages: Evidence from Linked Vacancy–Employer–Employee Data,https://doi.org/10.1093/restud/rdad051,Mediation,2023
RES,Reputational Bargaining with External Resolution Opportunities ,https://doi.org/10.1093/restud/rdae062,Mediation,2024
RES,Classes of Utility Functions Admitting Tyrni's Homogeneous Saving Function,https://doi.org/10.2307/2296350,Mediation,1969
RES,The Economics and Econometrics of Gene–Environment Interplay ,https://doi.org/10.1093/restud/rdaf034,Mediation,2025
RES,The Heckscher-Ohlin Model and Traded Intermediate Products,https://doi.org/10.2307/2296534,Mediation,1975
RES,Durable Goods Monopoly with Incomplete Information,https://doi.org/10.2307/2297998,Mediation,1992
RES,On Measuring Economic Interrelatedness,https://doi.org/10.2307/2296761,Mediation,1974
RES,Financial Intermediation with Risk Aversion,https://doi.org/10.1111/1467-937X.00151,Mediation,2000
RES,Predetermined Wages and Prices and the Impact of Expansionary Government Policy,https://doi.org/10.2307/2297378,Mediation,1990
RES,The Value of Data Records,https://doi.org/10.1093/restud/rdad044,Mediation,2023
RES,Estimation of Discrete Games with Weak Assumptions on Information,https://doi.org/10.1093/restud/rdac058,Mediation,2022
RES,The Schematic Representation of the Structure of Production,https://doi.org/10.2307/2967590,Mediation,1935
RES,Minimum Wage Employment Effects and Labour Market Concentration,https://doi.org/10.1093/restud/rdad091,Mediation,2023
RES,A Note on Gold Movements in the Present International Monetary System,https://doi.org/10.2307/2967581,Mediation,1937
RES,"Decentralization, Externalities, and Efficiency",https://doi.org/10.2307/2297803,Mediation,1995
RES,Intermediate Goods in Production Theory: The Differentiable Case,https://doi.org/10.2307/2296351,Mediation,1969
RES,Optimal Depletion of an Exhaustible Resource with Research and Development towards an Alternative Technology,https://doi.org/10.2307/2297350,Mediation,1978
RES,Specialisation and Efficiency in World Production,https://doi.org/10.2307/2295770,Mediation,1953
RES,Effects of Free Choice Among Public Schools,https://doi.org/10.1111/j.1467-937X.2009.00588.x,Mediation,2010
RES,Planning and Plotting: A Note on Terminology,https://doi.org/10.2307/2967627,Mediation,1936
RES,Ambiguities in the Sign of Excess Effective Demand by Firms,https://doi.org/10.2307/2297293,Mediation,1982
RES,Arms Races and Negotiations,https://doi.org/10.1111/0034-6527.00287,Mediation,2004
RES,Efficient Sequential Bargaining,https://doi.org/10.2307/2298066,Mediation,1993
RES,Racial Preferences in Dating,https://doi.org/10.1111/j.1467-937X.2007.00465.x,Mediation,2008
RES,Capitalist-Worker Conflict and Involuntary Unemployment,https://doi.org/10.2307/2297708,Mediation,1984
RES,Sequentially Optimal Mechanisms,https://doi.org/10.1111/j.1467-937X.2006.00409.x,Mediation,2006
RES,Do The Effects of Nudges Persist? Theory and Evidence from 38 Natural Field Experiments,https://doi.org/10.1093/restud/rdag012,Mediation,2026
RES,Rawlsian Growth: Dynamic Programming of Capital and Wealth for Intergeneration “Maximin” Justice,https://doi.org/10.2307/2297088,Mediation,1978
RES,Cash Circulation in the Planned Economies of Eastern Europe,https://doi.org/10.2307/2296050,Mediation,1959
RES,Charity as a Substitute for Reputation: Evidence from an Online Marketplace,https://doi.org/10.1093/restud/rds012,Mediation,2012
RES,Dynamic Price Competition with Network Effects,https://doi.org/10.1093/restud/rdq007,Mediation,2011
RES,Foreign Direct Investment and Exports with Growing Demand,https://doi.org/10.1111/1467-937X.00259,Mediation,2003
RES,The Inter-relations of Shifts in Demand,https://doi.org/10.2307/2296014,Mediation,1944
RES,Notes on the British Income Tax and Company Reserves,https://doi.org/10.2307/2967525,Mediation,1938
RES,Marginal Jobs and Job Surplus: A Test of the Efficiency of Separations,https://doi.org/10.1093/restud/rdac045,Mediation,2022
RES,The Utility of Wealth and the Utility of Windfalls,https://doi.org/10.2307/2296342,Mediation,1969
RES,The Commonsense of the Elasticity of Substitution,https://doi.org/10.2307/2967587,Mediation,1935
RES,Elasticities of Substitution and the Theory of Derived Demand,https://doi.org/10.2307/2296550,Mediation,1968
RES,Brokering Votes With Information Spread Via Social Networks ,https://doi.org/10.1093/restud/rdaf075,Mediation,2025
RES,Liquidity Preference and Financial Intermediation,https://doi.org/10.1111/1467-937X.00057,Mediation,1998
RES,The Demand for Money and Monetary Adjustments in Chile,https://doi.org/10.2307/2296676,Mediation,1967
RES,Formulation of Richardson's Model of Arms Race from a Differential Game Viewpoint,https://doi.org/10.2307/2296820,Mediation,1975
RES,Some Notes on Monetary Theories of the Trade Cycle,https://doi.org/10.2307/2967435,Mediation,1933
RES,A Note on J. v. Neumann's Article on “A Model of Economic Equilibrium”,https://doi.org/10.2307/2296112,Mediation,1945
RES,Competitive Selection and Market Data: The Mixed-Index Problem,https://doi.org/10.2307/2297868,Mediation,1992
RES,Welfare Economics of Variable Tastes,https://doi.org/10.2307/2295773,Mediation,1953
RES,The Stability of the Cournot Oligopoly Solution: The Effects of Speeds of Adjustment and Increasing Marginal Costs,https://doi.org/10.2307/2295710,Mediation,1961
RES,"Structural Change, Elite Capitalism, and the Emergence of Labour Emancipation",https://doi.org/10.1093/restud/rdae043,Mediation,2024
RES,Designing Interrogations,https://doi.org/10.1093/restud/rdae002,Mediation,2024
