Journal,Title,Link,Category,Year
QJE,﻿The Macroeconomics of Sticky Prices with Generalized Hazard Functions Purchased,https://doi.org/10.1093/qje/qjab042,Nested Functionals,2021
QJE,Experimental Estimates of Education Production Functions Purchased,https://doi.org/10.1162/003355399556052,Nested Functionals,1999
QJE,Inflation Persistence Purchased,https://doi.org/10.2307/2118513,Nested Functionals,1995
QJE,"The Race Between Education, Technology, and the Minimum Wage Purchased",https://doi.org/10.1093/qje/qjaf014,Nested Functionals,2025
QJE,Catering to Investors Through Security Design: Headline Rate and Complexity Purchased,https://doi.org/10.1093/qje/qjx007,Nested Functionals,2017
QJE,Measuring Aggregate Price Indices with Taste Shocks: Theory and Evidence for CES Preferences Purchased,https://doi.org/10.1093/qje/qjz031,Nested Functionals,2019
QJE,Structural Estimation Under Misspecification: Theory and Implications for Practice Purchased,https://doi.org/10.1093/qje/qjaf018,Nested Functionals,2025
QJE,Nash-Cournot or Lindahl Behavior?: An Empirical Test for the NATO Allies Purchased,https://doi.org/10.2307/2937877,Nested Functionals,1990
QJE,Quantifying the Sources of Firm Heterogeneity Purchased,https://doi.org/10.1093/qje/qjw012,Nested Functionals,2016
QJE,Imperfect Risk Sharing and the Business Cycle Purchased,https://doi.org/10.1093/qje/qjad013,Nested Functionals,2023
QJE,"Imports, Exports, and Earnings Inequality: Measures of Exposure and Estimates of Incidence Open Access",https://doi.org/10.1093/qje/qjac012,Nested Functionals,2022
QJE,Productivity and Misallocation in General Equilibrium Purchased,https://doi.org/10.1093/qje/qjz030,Nested Functionals,2019
QJE,The Tradeoff Between Wages and Employment in Trade Union Objectives Purchased,https://doi.org/10.2307/1885523,Nested Functionals,1984
QJE,Transition Losses of Partially Mobile Industry-Specific Capital Purchased,https://doi.org/10.2307/1885569,Nested Functionals,1983
QJE,"Interdependent Utilities, Charity, and Pareto Optimality: Comment Purchased",https://doi.org/10.2307/1885266,Nested Functionals,1975
QJE,The Refugee’s Dilemma: Evidence from Jewish Migration out of Nazi Germany Purchased,https://doi.org/10.1093/qje/qjad001,Nested Functionals,2023
QJE,The Unequal Gains from Product Innovations: Evidence from the U.S. Retail Sector Purchased,https://doi.org/10.1093/qje/qjy031,Nested Functionals,2018
QJE,"Measurement Error, Legalized Abortion, and the Decline in Crime: A Response to Foote and Goetz Purchased",https://doi.org/10.1162/qjec.2008.123.1.425,Nested Functionals,2008
QJE,Capital Allocation and Productivity in South Europe Purchased,https://doi.org/10.1093/qje/qjx024,Nested Functionals,2017
QJE,The Global Decline of the Labor Share Purchased,https://doi.org/10.1093/qje/qjt032,Nested Functionals,2013
QJE,Measuring Monetary Policy Purchased,https://doi.org/10.1162/003355398555775,Nested Functionals,1998
QJE,Managing Expectations: Instruments Versus Targets Purchased,https://doi.org/10.1093/qje/qjaa045,Nested Functionals,2020
QJE,Choice Simplification: A Theory of Mental Budgeting and Naive Diversification Open Access,https://doi.org/10.1093/qje/qjz043,Nested Functionals,2020
QJE,"Immigration, Skill Mix, and Capital Skill Complementarity Purchased",https://doi.org/10.1093/qje/qjr011,Nested Functionals,2011
QJE,Welfare and Output With Income Effects and Taste Shocks Purchased,https://doi.org/10.1093/qje/qjac042,Nested Functionals,2022
QJE,Sweat Equity in U.S. Private Business Purchased,https://doi.org/10.1093/qje/qjaa041,Nested Functionals,2020
QJE,"Optimal Spatial Policies, Geography, and Sorting Purchased",https://doi.org/10.1093/qje/qjaa001,Nested Functionals,2020
QJE,The Effect of the Credit Crunch on Output Price Dynamics: The Corporate Inventory and Liquidity Management Channel Purchased,https://doi.org/10.1093/qje/qjaa025,Nested Functionals,2020
QJE,Measuring Welfare by Matching Households across Time Purchased,https://doi.org/10.1093/qje/qjad038,Nested Functionals,2023
QJE,The Diffusion of Development Purchased,https://doi.org/10.1162/qjec.2009.124.2.469,Nested Functionals,2009
QJE,"Monetary Policy by Committee: Consensus, Chairman Dominance, or Simple Majority? Purchased",https://doi.org/10.1162/qjec.2010.125.1.363,Nested Functionals,2010
QJE,Exact Aggregation and a Representative Consumer Purchased,https://doi.org/10.2307/2937813,Nested Functionals,1989
QJE,"Debt, Deleveraging, and the Liquidity Trap: A Fisher-Minsky-Koo Approach* Purchased",https://doi.org/10.1093/qje/qjs023,Nested Functionals,2012
QJE,"On the Nature of Capital: Investment, Intangible Assets, and the Pecuniary Magnate Purchased",https://doi.org/10.2307/1883967,Nested Functionals,1908
QJE,Equality of Resources Implies Equality of Welfare Purchased,https://doi.org/10.2307/1884177,Nested Functionals,1986
QJE,The Return to Protectionism Purchased,https://doi.org/10.1093/qje/qjz036,Nested Functionals,2019
QJE,On Diversity Purchased,https://doi.org/10.2307/2118476,Nested Functionals,1992
QJE,The Contribution of Changing Energy and Import Prices to Changing Average Labor Productivity: A Profit Formulation for Canada Purchased,https://doi.org/10.2307/1884373,Nested Functionals,1985
QJE,Can Union Labor Ever Cost Less? Purchased,https://doi.org/10.2307/1885067,Nested Functionals,1987
QJE,Aggregation and the Estimation of Quality Change: Application to U.S. Import Prices Purchased,https://doi.org/10.1093/qje/qjaf032,Nested Functionals,2025
QJE,Identifying Prediction Mistakes in Observational Data Purchased,https://doi.org/10.1093/qje/qjae013,Nested Functionals,2024
QJE,The Establishment-Level Behavior of Vacancies and Hiring Purchased,https://doi.org/10.1093/qje/qjt002,Nested Functionals,2013
QJE,Measuring the Effects of Monetary Policy: A Factor-Augmented Vector Autoregressive (FAVAR) Approach Purchased,https://doi.org/10.1162/0033553053327452,Nested Functionals,2005
QJE,Monetary Policy Rules and Macroeconomic Stability: Evidence and Some Theory Purchased,https://doi.org/10.1162/003355300554692,Nested Functionals,2000
QJE,"Market Imperfections, Labor Management, and Earnings Differentials in a Developing Country: Theory and Evidence from Yugoslavia Purchased",https://doi.org/10.2307/1885540,Nested Functionals,1988
QJE,Instantaneous Gratification Purchased,https://doi.org/10.1093/qje/qjs051,Nested Functionals,2012
QJE,Misallocation in the Market for Inputs: Enforcement and the Organization of Production Purchased,https://doi.org/10.1093/qje/qjaa020,Nested Functionals,2020
QJE,Charity and Progress Purchased,https://doi.org/10.2307/1882307,Nested Functionals,1897
QJE,"Ants, Rationality, and Recruitment Purchased",https://doi.org/10.2307/2118498,Nested Functionals,1993
QJE,Behavioral Hazard in Health Insurance Purchased,https://doi.org/10.1093/qje/qjv029,Nested Functionals,2015
QJE,"Distributional Growth Accounting: Education and the Reduction of Global Poverty, 1980–2019 Purchased",https://doi.org/10.1093/qje/qjaf033,Nested Functionals,2025
QJE,"Teacher Quality in Educational Production: Tracking, Decay, and Student Achievement Purchased",https://doi.org/10.1162/qjec.2010.125.1.175,Nested Functionals,2010
QJE,Option Valuation of Claims on Real Assets: The Case of Offshore Petroleum Leases Purchased,https://doi.org/10.2307/1885541,Nested Functionals,1988
QJE,Political Centralization and Government Accountability Purchased,https://doi.org/10.1093/qje/qjv035,Nested Functionals,2015
QJE,What do Consumers Consider Before They Choose? Identification from Asymmetric Demand Responses Open Access,https://doi.org/10.1093/qje/qjab008,Nested Functionals,2021
QJE,Measuring Welfare and Inequality with Incomplete Price Information Purchased,https://doi.org/10.1093/qje/qjad037,Nested Functionals,2023
QJE,Allocative Efficiency: The Role of Human Capital Purchased,https://doi.org/10.2307/1883138,Nested Functionals,1977
QJE,Dollar Dominance and the Transmission of Monetary Policy Open Access,https://doi.org/10.1093/qje/qjaf043,Nested Functionals,2025
QJE,Growth in the Shadow of Expropriation Purchased,https://doi.org/10.1093/qje/qjr015,Nested Functionals,2011
QJE,The Geography of Unemployment Purchased,https://doi.org/10.1093/qje/qjad010,Nested Functionals,2023
QJE,Are Output Fluctuations Transitory? Purchased,https://doi.org/10.2307/1884285,Nested Functionals,1987
QJE,The Optimal Distribution of Income Purchased,https://doi.org/10.2307/1882268,Nested Functionals,1971
QJE,Are Inflationary Shocks Regressive? A Feasible Set Approach Purchased,https://doi.org/10.1093/qje/qjaf028,Nested Functionals,2025
QJE,Dynamic Games with Asymmetric Information: A Framework for Empirical Work* Purchased,https://doi.org/10.1093/qje/qjs025,Nested Functionals,2012
QJE,Professor Knight on Limits to the Use of Capital Purchased,https://doi.org/10.2307/1882845,Nested Functionals,1944
QJE,Search Frictions and Efficiency in Decentralized Transport Markets Purchased,https://doi.org/10.1093/qje/qjad023,Nested Functionals,2023
QJE,In Defense of Monopoly Purchased,https://doi.org/10.2307/1883294,Nested Functionals,1945
QJE,"The Tariff, 1929–30 Purchased",https://doi.org/10.2307/1885247,Nested Functionals,1930
QJE,Overreaction in Expectations: Evidence and Theory Purchased,https://doi.org/10.1093/qje/qjad009,Nested Functionals,2023
QJE,Economic Growth at a Maximal Rate Purchased,https://doi.org/10.2307/1879473,Nested Functionals,1964
QJE,Correlation Made Simple: Applications to Salience and Regret Theory Purchased,https://doi.org/10.1093/qje/qjab041,Nested Functionals,2021
QJE,Regulating Untaxable Externalities: Are Vehicle Air Pollution Standards Effective and Efficient? Purchased,https://doi.org/10.1093/qje/qjad016,Nested Functionals,2023
QJE,Competition among Exchanges Purchased,https://doi.org/10.1162/00335530152466304,Nested Functionals,2001
QJE,A Cue-Theory of Consumption Purchased,https://doi.org/10.1162/003355301556356,Nested Functionals,2001
QJE,Preventives Versus Treatments Purchased,https://doi.org/10.1093/qje/qjv012,Nested Functionals,2015
QJE,Paying for Health Insurance: The Trade-Off between Competition and Adverse Selection Purchased,https://doi.org/10.1162/003355398555649,Nested Functionals,1998
QJE,Neoclassical Theory and the Optimizing Peasant: An Econometric Analysis of Market Family Labor Supply in a Developing Country Purchased,https://doi.org/10.2307/1884603,Nested Functionals,1980
QJE,Procyclical Productivity: Increasing Returns or Cyclical Utilization? Purchased,https://doi.org/10.2307/2946670,Nested Functionals,1996
QJE,"New Pricing Models, Same Old Phillips Curves? Purchased",https://doi.org/10.1093/qje/qjad041,Nested Functionals,2023
QJE,Measuring the Unequal Gains from Trade Purchased,https://doi.org/10.1093/qje/qjw013,Nested Functionals,2016
QJE,Complementary Information and Learning Traps Purchased,https://doi.org/10.1093/qje/qjz033,Nested Functionals,2019
QJE,Working over Time: Dynamic Inconsistency in Real Effort Tasks Purchased,https://doi.org/10.1093/qje/qjv020,Nested Functionals,2015
QJE,An Interplant Test of the Efficiency Wage Hypothesis Purchased,https://doi.org/10.2307/2937926,Nested Functionals,1991
QJE,Systemic Discrimination Among Large U.S. Employers Purchased,https://doi.org/10.1093/qje/qjac024,Nested Functionals,2022
QJE,Subgame-Perfect Implementation Under Information Perturbations* Purchased,https://doi.org/10.1093/qje/qjs026,Nested Functionals,2012
QJE,Optimal Fiscal Policy with Redistribution Purchased,https://doi.org/10.1162/qjec.122.3.925,Nested Functionals,2007
QJE,Optimal Price Setting With Observation and Menu Costs Purchased,https://doi.org/10.1093/qje/qjr043,Nested Functionals,2011
QJE,Property Rights over Marital Transfers Purchased,https://doi.org/10.1093/qje/qjv014,Nested Functionals,2015
QJE,"Increasing Returns, Industrialization, and Indeterminacy of Equilibrium Purchased",https://doi.org/10.2307/2937949,Nested Functionals,1991
QJE,The Future of Railway Control Purchased,https://doi.org/10.2307/1885768,Nested Functionals,1923
QJE,Psychological Factors and Stock Option Exercise Purchased,https://doi.org/10.1162/003355399556089,Nested Functionals,1999
QJE,"The More We Die, The More We Sell? A Simple Test of the Home-Market Effect Purchased",https://doi.org/10.1093/qje/qjz003,Nested Functionals,2019
QJE,Intergenerational Transfers and Liquidity Constraints Purchased,https://doi.org/10.2307/2937825,Nested Functionals,1990
QJE,The Economics of Spatial Mobility: Theory and Evidence Using Smartphone Data Purchased,https://doi.org/10.1093/qje/qjaf038,Nested Functionals,2025
QJE,Revealed Beliefs and the Marriage Market Return to Education Open Access,https://doi.org/10.1093/qje/qjaf020,Nested Functionals,2025
QJE,Putting Quantitative Models to the Test: An Application to the U.S.-China Trade War Purchased,https://doi.org/10.1093/qje/qjae041,Nested Functionals,2024
QJE,Complete Pass-Through in Levels Purchased,https://doi.org/10.1093/qje/qjag014,Nested Functionals,2026
QJE,Population in Preindustrial England: An Econometric Analysis Purchased,https://doi.org/10.2307/1882026,Nested Functionals,1973
QJE,Schumpeter's History of Economic Analysis Purchased,https://doi.org/10.2307/1884847,Nested Functionals,1955
QJE,Corporate Control and Capitalism Purchased,https://doi.org/10.2307/1880509,Nested Functionals,1965
QJE,Population in Preindustrial England: An Econometric Analysis Purchased,https://doi.org/10.2307/1882026,Nested Functionals,1973
QJE,Optimal Defaults and Active Decisions Purchased,https://doi.org/10.1162/qjec.2009.124.4.1639,Nested Functionals,2009
QJE,"Insuring peace: Index-based livestock insurance, droughts, and conflict Purchased",https://doi.org/10.1093/qje/qjag005,Nested Functionals,2026
QJE,Inference on Winners Purchased,https://doi.org/10.1093/qje/qjad043,Nested Functionals,2023
QJE,Expectations as Endowments: Evidence on Reference-Dependent Preferences from Exchange and Valuation Experiments Purchased,https://doi.org/10.1093/qje/qjr034,Nested Functionals,2011
QJE,Ownership and Control in Outsourcing to China: Estimating the Property-Rights Theory of the Firm Purchased,https://doi.org/10.1093/qje/120.2.729,Nested Functionals,2005
QJE,Coalitional Rationalizability Purchased,https://doi.org/10.1162/qjec.121.3.903,Nested Functionals,2006
QJE,Skilled Labor-Augmenting Technical Progress in U. S. Manufacturing Purchased,https://doi.org/10.1162/003355398555810,Nested Functionals,1998
