Journal,Title,Link,Category
QJE,﻿The Badly Behaved Production Function: A Further Comment,https://doi.org/10.2307/1884440,Production Function
QJE,The Badly Behaved Production Function: Comment,https://doi.org/10.2307/1879526,Production Function
QJE,The Badly Behaved Production Function,https://doi.org/10.2307/1885579,Production Function
QJE,The Production Function for Australian Manufacturing,https://doi.org/10.2307/1883031,Production Function
QJE,Capacity Utilization and Production Function Estimation in Postwar American Manufacturing,https://doi.org/10.2307/1885895,Production Function
QJE,Ownership and the Production Function,https://doi.org/10.2307/1879674,Production Function
QJE,The Statistical Production Function,https://doi.org/10.2307/1883295,Production Function
QJE,Experimental Estimates of Education Production Functions,https://doi.org/10.1162/003355399556052,Production Function
QJE,The Shape of Production Functions and the Direction of Technical Change,https://doi.org/10.1093/qje/120.2.517,Production Function
QJE,Engineering Production Functions,https://doi.org/10.2307/1882136,Production Function
QJE,Factor Prices Not Equalized,https://doi.org/10.2307/1879323,Production Function
QJE,Tradeoff Between Aggregate Efficiency and Interregional Equity: A Static Analysis,https://doi.org/10.2307/1885584,Production Function
QJE,Productivity Change and Labor Absorption in Japanese Cotton Spinning 1891–1935,https://doi.org/10.2307/1885414,Production Function
QJE,The Austrian Theory of Capital in Relation to Partial Equilibrium Theory,https://doi.org/10.2307/1882345,Production Function
QJE,Optimal Resilience in Multitier Supply Chains,https://doi.org/10.1093/qje/qjae024,Production Function
QJE,Capital is Back: Wealth-Income Ratios in Rich Countries 1700–2010,https://doi.org/10.1093/qje/qju018,Production Function
QJE,"Monopolistic Competition, Risk Aversion, and Equilibrium Recessions",https://doi.org/10.2307/2937879,Production Function
QJE,"Layoff Unemployment, Risk Shifting, and Productivity",https://doi.org/10.2307/1880755,Production Function
QJE,"Sources of Agricultural Growth in Japan, 1880–1965",https://doi.org/10.2307/1881945,Production Function
QJE,"Risk Aversion, Supply Response, and the Optimality of Random Prices: A Diagrammatic Analysis",https://doi.org/10.2307/1882624,Production Function
QJE,Prices and Wages under Bilateral Monopoly,https://doi.org/10.2307/1885048,Production Function
QJE,The Measurement of Productive Efficiency: A Reconsideration,https://doi.org/10.2307/1882683,Production Function
QJE,Capital Formation and Economic Growth in China,https://doi.org/10.2307/2118409,Production Function
QJE,Recombinant Growth,https://doi.org/10.1162/003355398555595,Production Function
QJE,Growth Empirics: A Panel Data Approach,https://doi.org/10.2307/2946651,Production Function
QJE,Coordinating Coordination Failures in Keynesian Models,https://doi.org/10.2307/1885539,Production Function
QJE,The Theory of Domestic Content Protection and Content Preference,https://doi.org/10.2307/1880742,Production Function
QJE,"Some Additional Results on Investment, Risk Taking, and Full Loss Offset Corporate Taxation with Interest Deductibility",https://doi.org/10.2307/1880744,Production Function
QJE,"Teacher Quality in Educational Production: Tracking, Decay, and Student Achievement",https://doi.org/10.1162/qjec.2010.125.1.175,Production Function
QJE,The O-Ring Theory of Economic Development,https://doi.org/10.2307/2118400,Production Function
QJE,“Inferior” Factors of Production,https://doi.org/10.2307/1891132,Production Function
QJE,Efficiency Loss from Resource Misallocation in Soviet Industry,https://doi.org/10.2307/1886020,Production Function
QJE,Efficient Tax Reform in a Dynamic Model of General Equilibrium,https://doi.org/10.2307/1885385,Production Function
QJE,Some Econometrics of Growth: Great Ratios of Economics,https://doi.org/10.2307/1884198,Production Function
QJE,Is Unemployment Lower if Unions Bargain over Employment?,https://doi.org/10.2307/2937898,Production Function
QJE,A Formal Outline of a Smithian Growth Model,https://doi.org/10.2307/1880528,Production Function
QJE,Bilateral Monopoly and the Competitive Output,https://doi.org/10.2307/1882261,Production Function
QJE,A Microfoundation for Social Increasing Returns in Human Capital Accumulation,https://doi.org/10.2307/2946672,Production Function
QJE,The Neoclassical Postulate and the Technology Frontier in Capital Theory,https://doi.org/10.2307/1881941,Production Function
QJE,External Economies of Scale and Competitive Equilibrium,https://doi.org/10.2307/1879425,Production Function
QJE,Further Measurements of Marginal Productivity,https://doi.org/10.2307/1882449,Production Function
QJE,A Contribution to the Theory of Business Cycles,https://doi.org/10.2307/2118375,Production Function
QJE,Full Capacity vs. Full Employment Growth,https://doi.org/10.2307/1883599,Production Function
QJE,Production Isoquants and the Analysis of Technological and Technical Change,https://doi.org/10.2307/1880504,Production Function
QJE,"Usher and Schumpeter on Invention, Innovation and Technological Change: Comment",https://doi.org/10.2307/1883211,Production Function
QJE,Choice of Technology in Low-Wage Countries: A Nonneoclassical Approach,https://doi.org/10.2307/1884473,Production Function
QJE,The Effect of Uncertainty on Resource Allocation in a General Equilibrium Model,https://doi.org/10.2307/1885932,Production Function
QJE,The Unimportance of Reswitching,https://doi.org/10.2307/1881707,Production Function
QJE,The Dynamic Demand for Capital and Labor,https://doi.org/10.2307/1885695,Production Function
QJE,"Capital Intensity, Aggregation, and Consumption Behavior",https://doi.org/10.2307/1884476,Production Function
QJE,A Note on the Theory of Economic Growth,https://doi.org/10.2307/1879638,Production Function
QJE,Reply,https://doi.org/10.2307/1883212,Production Function
QJE,On Embodiment and Savings,https://doi.org/10.2307/1879404,Production Function
QJE,The Theory of Investment and Production,https://doi.org/10.2307/1883826,Production Function
QJE,"Usher and Schumpeter on Invention, Innovation, and Technological Change",https://doi.org/10.2307/1884305,Production Function
QJE,Factor Proportions and Comparative Advantage: Part I,https://doi.org/10.2307/1884264,Production Function
QJE,The Meaning of the Fitted Cobb-Douglas Function,https://doi.org/10.2307/1885710,Production Function
QJE,International Trade Theory without Homogeneity: A Comment,https://doi.org/10.2307/1882189,Production Function
QJE,The Elasticity of Substitution and the Savings Ratio in the Neoclassical Theory of Growth,https://doi.org/10.2307/1882709,Production Function
QJE,The Supply of Urban Housing,https://doi.org/10.2307/1886040,Production Function
QJE,"Workers, Machines, and Economic Growth",https://doi.org/10.1162/003355398555847,Production Function
QJE,Further Comment,https://doi.org/10.2307/1882067,Production Function
QJE,On the Sensitivity of the Level of Output to Savings: Embodiment and Disembodiment: A Clarificatory Note,https://doi.org/10.2307/1883092,Production Function
QJE,Productivity Growth and Materials Use in U. S. Manufacturing,https://doi.org/10.2307/1884648,Production Function
QJE,The Theory of Capital Utilization in Labor-Managed Enterprises,https://doi.org/10.2307/1885977,Production Function
QJE,The Rise of Market Power and the Macroeconomic Implications,https://doi.org/10.1093/qje/qjz041,Production Function
QJE,The Mathematical Foundations of Economic Theory,https://doi.org/10.2307/1882736,Production Function
QJE,Role of Education in Production: A Slightly New Approach,https://doi.org/10.2307/1885505,Production Function
QJE,The Global Decline of the Labor Share,https://doi.org/10.1093/qje/qjt032,Production Function
QJE,Equilibrium Growth in a Model with Economic Obsolescence of Machines,https://doi.org/10.2307/1883086,Production Function
QJE,The Theory of Relative Shares: Comment,https://doi.org/10.2307/1880661,Production Function
QJE,International Trade Theory Without Homogeneity,https://doi.org/10.2307/1881840,Production Function
QJE,Alternative Profit Criteria,https://doi.org/10.2307/1884358,Production Function
QJE,"Productivity Change in British Pig Iron, 1870–1939",https://doi.org/10.2307/1885898,Production Function
QJE,Towards a More General Model of Land Tenancy and Reform,https://doi.org/10.2307/1882025,Production Function
QJE,"Entry Deterrence, Divisionalization, and Investment Decisions",https://doi.org/10.2307/2937918,Production Function
QJE,"Entry Deterrence, Divisionalization, and Investment Decisions",https://doi.org/10.2307/2937918,Production Function
QJE,Two-Stage Expenditure Minimization and some Welfare Applications,https://doi.org/10.2307/1885881,Production Function
QJE,A Growth Model for a Tenured-labor-managed Firm: Reply,https://doi.org/10.2307/1886029,Production Function
QJE,The Optimality of Pure Competition in the Capacity Problem: Comment,https://doi.org/10.2307/1885590,Production Function
QJE,Productivity and City Size: A Critique of the Evidence,https://doi.org/10.2307/1880747,Production Function
QJE,Sources of Growth in Less Developed Countries: A Cross-Section Study,https://doi.org/10.2307/1885929,Production Function
QJE,On the Sensitivity of the Level of Output to Savings: Embodiment and Disembodiment,https://doi.org/10.2307/1884816,Production Function
QJE,A Multisectoral Model of Growth,https://doi.org/10.2307/1880819,Production Function
QJE,Allocative Efficiency: The Role of Human Capital,https://doi.org/10.2307/1883138,Production Function
QJE,A Note on the Theory of Investment and Production,https://doi.org/10.2307/1884310,Production Function
QJE,Tax Incidence in a Growing Economy with Variable Factor Supply,https://doi.org/10.2307/1881822,Production Function
QJE,A Note on Professor Fei's “Per Capita Consumption and Growth”,https://doi.org/10.1093/qje/85.4.704,Production Function
QJE,A Utilitarian Approach to the Concept of Equality in Public Expenditures,https://doi.org/10.2307/1885930,Production Function
QJE,On the Measurement of Education's Contribution to Growth,https://doi.org/10.2307/1880531,Production Function
QJE,Some Skeptical Thoughts on the Theory of Induced Innovation,https://doi.org/10.2307/1882184,Production Function
QJE,Tax Neutrality in the Presence of Adjustment Costs,https://doi.org/10.2307/1881785,Production Function
QJE,Intermediate Goods in International Trade with Variable Proportions and Two Primary Inputs,https://doi.org/10.2307/1880702,Production Function
QJE,Location and the Theory of Production,https://doi.org/10.2307/1880599,Production Function
QJE,A Growth Model for a Tenured-labor-managed Firm: Comment,https://doi.org/10.2307/1886028,Production Function
QJE,The Effects of Pollution Taxation on the Pattern of Resource Allocation: The Downstream Diffusion Case,https://doi.org/10.2307/1885885,Production Function
QJE,A Growth Model for a Tenured-labor-managed Firm: Comment,https://doi.org/10.2307/1886028,Production Function
QJE,Growth Empirics: A Panel Data Approach—A Reply,https://doi.org/10.1162/003355398555513,Production Function
QJE,Misallocation in the Market for Inputs: Enforcement and the Organization of Production,https://doi.org/10.1093/qje/qjaa020,Production Function
QJE,The Stability of Growth Equilibrium: Comment,https://doi.org/10.2307/1879636,Production Function
QJE,Full Capacity vs. Full Employment Growth: Comment,https://doi.org/10.2307/1883600,Production Function
QJE,The Value of Life and the Rise in Health Spending,https://doi.org/10.1162/qjec.122.1.39,Production Function
QJE,The Anatomy of Market Failure,https://doi.org/10.2307/1882231,Production Function
QJE,A Method for Determining the Appropriateness of National Planning in a Market Economy,https://doi.org/10.2307/1885499,Production Function
QJE,The Skill Complementarity of Broadband Internet,https://doi.org/10.1093/qje/qjv028,Production Function
QJE,Heckscher-Ohlin Trade Theory with a Continuum of Goods,https://doi.org/10.2307/1885496,Production Function
QJE,Employment Subsidies and the Theory of Minimum Wage Rates in General Equilibrium,https://doi.org/10.2307/1883148,Production Function
QJE,Innovation in the Capitalist Process: A Critique of the Schumpeterian Theory,https://doi.org/10.2307/1882222,Production Function
QJE,Interest on Capital and Distribution: A Problem in the Theory of Marginal Productivity,https://doi.org/10.2307/1883881,Production Function
QJE,Nonconstant Returns to Scale and the Technical Change Frontier,https://doi.org/10.2307/1885934,Production Function
QJE,The Place of Money Capital in the Theory of Production,https://doi.org/10.2307/1884335,Production Function
QJE,"Investment Criteria, Productivity and Economic Development: Reinterpretation",https://doi.org/10.2307/1879481,Production Function
QJE,“The New View of Investment”: Comment,https://doi.org/10.2307/1880552,Production Function
QJE,Biased Technical Progress and A Neoclassical Theory of Economic Growth,https://doi.org/10.2307/1880548,Production Function
QJE,Generalized Findlay-Grubert Theorem,https://doi.org/10.2307/1885483,Production Function
QJE,A Contribution to the Empirics of Economic Growth,https://doi.org/10.2307/2118477,Production Function
QJE,The Relationship Between Firm Size and Factor Price,https://doi.org/10.2307/1879433,Production Function
QJE,The Opportunity Cost of Labor and the Returns to Education Under Unemployment and Labor Market Segmentation,https://doi.org/10.2307/1883154,Production Function
QJE,Measuring the Social Return to R&D,https://doi.org/10.1162/003355398555856,Production Function
QJE,Generalized Findlay-Grubert Theorem,https://doi.org/10.2307/1885483,Production Function
QJE,Multiple Expectational Equilibria Under Monopolistic Competition,https://doi.org/10.2307/1886070,Production Function
QJE,The Effects of Ad Valorem and Specific Taxes on Prices: Reply,https://doi.org/10.2307/1879681,Production Function
QJE,"Product Diversity, Economies of Scale, and International Trade",https://doi.org/10.2307/1885567,Production Function
QJE,Estimating the Costs of Protection: A General Equilibrium Approach,https://doi.org/10.2307/1884159,Production Function
QJE,"Taxes, Subsidies, and Employment",https://doi.org/10.2307/1882012,Production Function
QJE,The Role of Money in Economic Growth,https://doi.org/10.2307/1880799,Production Function
QJE,Sources of Growth Methodology in Low-Income Countries: A Critique,https://doi.org/10.2307/1885230,Production Function
QJE,Equilibrium Growth in the International Economy,https://doi.org/10.2307/1882708,Production Function
QJE,Toward a Neotechnology Theory of Comparative Costs,https://doi.org/10.2307/1885260,Production Function
QJE,Equipment Investment and Economic Growth: Reply,https://doi.org/10.2307/2118423,Production Function
QJE,"The Quarterly Journal of Economics, Volume 109, Issue 3, August 1994, Pages 803–807, https://doi.org/10.2307/2118423",.,Production Function
QJE,Economies of Scale: Some Statistical Evidence,https://doi.org/10.2307/1883722,Production Function
QJE,The Cost of Communication in Economic Organization,https://doi.org/10.2307/1881821,Production Function
QJE,Signaling in Credit Markets,https://doi.org/10.2307/1882644,Production Function
QJE,Variable Factor Proportions and Interindustry Flows in the Theory of International Trade,https://doi.org/10.2307/1879376,Production Function
QJE,The Theory of Saving and the Stability of Growth Equilibrium,https://doi.org/10.2307/1880534,Production Function
QJE,Waiting and the Period of Production,https://doi.org/10.2307/1880609,Production Function
QJE,The Theory of Saving and the Stability of Growth Equilibrium,https://doi.org/10.2307/1880534,Production Function
QJE,Monopoly under General Equilibrium: Comment,https://doi.org/10.2307/1882921,Production Function
QJE,Technical Change in an Evolutionary Model,https://doi.org/10.2307/1886088,Production Function
QJE,Growth Paths in the Solow Neoclassical Growth Model,https://doi.org/10.2307/1879405,Production Function
QJE,"Social Institutions, Imperfect Information, and the Distribution of Income",https://doi.org/10.2307/1884630,Production Function
QJE,The Productivity of Cities,https://doi.org/10.2307/1885259,Production Function
QJE,Why do Some Countries Produce So Much More Output Per Worker than Others?,https://doi.org/10.1162/003355399555954,Production Function
QJE,Transitional Dynamics in Two-Sector Models of Endogenous Growth,https://doi.org/10.2307/2118407,Production Function
QJE,Exporting and Firm Performance: Evidence from a Randomized Experiment,https://doi.org/10.1093/qje/qjx002,Production Function
QJE,When Did Growth Begin? New Estimates of Productivity Growth in England from 1250 to 1870,https://doi.org/10.1093/qje/qjae046,Production Function
QJE,A Contribution to the Theory of Economic Growth,https://doi.org/10.2307/1884513,Production Function
QJE,Choice of Capital Intensity Further Considered,https://doi.org/10.2307/1880615,Production Function
QJE,Procyclical Productivity: Increasing Returns or Cyclical Utilization?,https://doi.org/10.2307/2946670,Production Function
QJE,"Notes on Advertising, Economies of Scale, and Entry Barriers",https://doi.org/10.2307/1885090,Production Function
QJE,Capital Allocation and Productivity in South Europe,https://doi.org/10.1093/qje/qjx024,Production Function
QJE,A Note on Marshallian Process Under Increasing Returns,https://doi.org/10.2307/1879402,Production Function
QJE,The Fair Wage-Effort Hypothesis and Unemployment,https://doi.org/10.2307/2937787,Production Function
