Journal,Title,Link,Category,Year
QJE,"﻿Monopolistic Competition, Risk Aversion, and Equilibrium RecessionsGet access Arrow",https://doi.org/10.2307/2937879,Production Technology,1990
QJE,The Measurement of Productive Efficiency: A ReconsiderationGet access Arrow,https://doi.org/10.2307/1882683,Production Technology,1981
QJE,Intermediate Products and Differential Tariffs: A Generalization of Lerner's Symmetry TheoremGet access Arrow,https://doi.org/10.2307/1882917,Production Technology,1966
QJE,The Evolution of Market Power in the U.S. Automobile IndustryGet access Arrow,https://doi.org/10.1093/qje/qjad047,Production Technology,2023
QJE,"Usher and Schumpeter on Invention, Innovation and Technological Change: CommentGet access Arrow",https://doi.org/10.2307/1883211,Production Technology,1961
QJE,A Simple Rational Expectations Keynes-type ModelGet access Arrow,https://doi.org/10.2307/1886025,Production Technology,1983
QJE,Economies of Scale and the Profitability of Marginal-Cost Pricing: A NoteGet access Arrow,https://doi.org/10.2307/1884482,Production Technology,1979
QJE,Multiplicity of Equilibria and Comparative StaticsGet access Arrow,https://doi.org/10.2307/1885738,Production Technology,1985
QJE,Economies of Scale and the Profitability of Marginal-Cost Pricing: ReplyGet access Arrow,https://doi.org/10.2307/1884483,Production Technology,1979
QJE,"Capital Heterogeneity, Aggregation, and the Two-Sector ModelGet access Arrow",https://doi.org/10.2307/1881713,Production Technology,1975
QJE,"Workers, Wages, and TechnologyGet access Arrow",https://doi.org/10.1162/003355397555181,Production Technology,1997
QJE,The Rise of Market Power and the Macroeconomic ImplicationsGet access Arrow,https://doi.org/10.1093/qje/qjz041,Production Technology,2020
QJE,A Production Theory Perspective on Collective Choice TheoryGet access Arrow,https://doi.org/10.2307/1883120,Production Technology,1984
QJE,Multiproduct Firms and Trade LiberalizationGet access Arrow,https://doi.org/10.1093/qje/qjr021,Production Technology,2011
QJE,The Devolution of Declining IndustriesGet access Arrow,https://doi.org/10.2307/2937824,Production Technology,1990
QJE,Statistical cost Analysis Re-Revisited: ReplyGet access Arrow,https://doi.org/10.2307/2936150,Production Technology,1981
QJE,Statistical Cost Analysis Re-RevisitedGet access Arrow,https://doi.org/10.2307/2936149,Production Technology,1981
QJE,"Income, Experience, and the Structure of Internal Labor MarketsGet access Arrow",https://doi.org/10.2307/1881794,Production Technology,1974
QJE,"The Regional Distribution of Population, Migration, and ClimateGet access Arrow",https://doi.org/10.2307/1885501,Production Technology,1980
QJE,Do Sunk Costs of Exporting Matter for Net Export Dynamics?Get access Arrow,https://doi.org/10.1162/qjec.122.1.289,Production Technology,2007
QJE,"How Does Information Technology Affect Productivity? Plant-Level Comparisons of Product Innovation, Process Improvement, and Worker SkillsGet access Arrow",https://doi.org/10.1162/qjec.2007.122.4.1721,Production Technology,2007
QJE,Real Effects of Foreign Surplus Disposal in Underdeveloped Economies: ReplyGet access Arrow,https://doi.org/10.2307/1879664,Production Technology,1964
QJE,The Cost of Communication in Economic OrganizationGet access Arrow,https://doi.org/10.2307/1881821,Production Technology,1974
QJE,Statistical Cost Analysis RevisitedGet access Arrow,https://doi.org/10.2307/1882601,Production Technology,1979
QJE,Labor Market Returns and the Evolution of Cognitive Skills: Theory and EvidenceGet access Arrow,https://doi.org/10.1093/qje/qjac022,Production Technology,2022
QJE,"Choosing New Industrial Capacity: On-Site EXpansion, Branching, and RelocationGet access Arrow",https://doi.org/10.2307/1885351,Production Technology,1980
QJE,The Optimal Taxation of Foreign Source Investment IncomeGet access Arrow,https://doi.org/10.2307/1884472,Production Technology,1979
QJE,The Skill Complementarity of Broadband InternetGet access Arrow,https://doi.org/10.1093/qje/qjv028,Production Technology,2015
