Journal,Title,Link,Category,Year
RES,Estimating Production Functions Using Inputs to Control for UnobservablesGet access Arrow,https://doi.org/10.1111/1467-937X.00246,Production Technology,2003
RES,"The Review of Economic Studies, Volume 70, Issue 2, April 2003, Pages 317–341, https://doi.org/10.1111/1467-937X.00246",.,Production Technology,Abstract
RES,Efficient Intra-Household Allocations and Distribution Factors: Implications and IdentificationGet access Arrow,https://doi.org/10.1111/j.1467-937X.2008.00525.x,Production Technology,2009
RES,Social Incentives in the WorkplaceGet access Arrow,https://doi.org/10.1111/j.1467-937X.2009.00574.x,Production Technology,2010
RES,Wage and Technology DispersionGet access Arrow,https://doi.org/10.1111/1467-937X.00146,Production Technology,2000
RES,Appropriate Technology and Balanced Growth Open Access,https://doi.org/10.1093/restud/rdy002,Production Technology,2018
RES,Marriage Market and Labour Market SortingGet access Arrow,https://doi.org/10.1093/restud/rdae010,Production Technology,2024
RES,Estimating a Dynamic Adverse-Selection Model: Labour-Force Experience and the Changing Gender Earnings Gap 1968–1997Get access Arrow,https://doi.org/10.1093/restud/rdr019,Production Technology,2011
RES,Private Information and Intertemporal Job AssignmentsGet access Arrow,https://doi.org/10.1111/j.1467-937X.2006.00386.x,Production Technology,2006
RES,A Welfare Analysis of Employment Contracts with and without Asymmetric InformationGet access Arrow,https://doi.org/10.2307/2297435,Production Technology,1984
RES,Monopsony Wage Determination and Multiple Unemployment Equilibria in a Non-Linear Search ModelGet access Arrow,https://doi.org/10.2307/2298054,Production Technology,1991
RES,A Theory of Socially Responsible Investment Open Access,https://doi.org/10.1093/restud/rdae048,Production Technology,2024
RES,Estimating Production Functions of Multiproduct FirmsGet access Arrow,https://doi.org/10.1093/restud/rdad005,Production Technology,2023
RES,The Macroeconomics of Supply Chain DisruptionsGet access Arrow,https://doi.org/10.1093/restud/rdae038,Production Technology,2024
RES,Household Choices and Child DevelopmentGet access Arrow,https://doi.org/10.1093/restud/rdt026,Production Technology,2013
RES,"Contractual Incompleteness, Unemployment, and Labour Market SegmentationGet access Arrow",https://doi.org/10.1093/restud/rdt034,Production Technology,2013
RES,Common Currencies vs. Monetary IndependenceGet access Arrow,https://doi.org/10.1111/1467-937X.00267,Production Technology,2003
RES,Optimal Bank Regulation and Fiscal CapacityGet access Arrow,https://doi.org/10.1093/restud/rdz012,Production Technology,2019
RES,"The Morishima Elasticity of Substitution; Symmetry, Constancy, Separability, and its Relationship to the Hicks and Allen ElasticitiesGet access Arrow",https://doi.org/10.2307/2297127,Production Technology,1981
RES,A Diagrammatic Approach to General Equilibrium AnalysisGet access Arrow,https://doi.org/10.2307/2296030,Production Technology,1963
RES,A Measure of CapitalGet access Arrow,https://doi.org/10.2307/2296320,Production Technology,1963
RES,Assessing Dynamic Efficiency: Theory and EvidenceGet access Arrow,https://doi.org/10.2307/2297746,Production Technology,1989
RES,International Trade and Currency ExchangeGet access Arrow,https://doi.org/10.1111/1467-937X.00176,Production Technology,2001
RES,Does Pricing Carbon Mitigate Climate Change? Firm-Level Evidence from the European Union Emissions Trading System Open Access,https://doi.org/10.1093/restud/rdae055,Production Technology,2024
RES,"Building the Family Nest: Premarital Investments, Marriage Markets, and Spousal AllocationsGet access Arrow",https://doi.org/10.1111/j.1467-937X.2007.00429.x,Production Technology,2007
RES,Productivity Dynamics with Technology Choice: An Application to Automobile AssemblyGet access Arrow,https://doi.org/10.1111/1467-937X.00241,Production Technology,2003
RES,Self-Selection and Monitoring in Dynamic Incentive Problems with Incomplete ContractsGet access Arrow,https://doi.org/10.2307/2297816,Production Technology,1993
RES,Excess Capacity and Demand-Driven Business Cycles Open Access,https://doi.org/10.1093/restud/rdae072,Production Technology,2024
RES,"Human Capital, Female Employment, and Electricity: Evidence from the Early 20th-Century United StatesGet access Arrow",https://doi.org/10.1093/restud/rdad021,Production Technology,2023
RES,Trading Population for Productivity: Theory and EvidenceGet access Arrow,https://doi.org/10.1111/j.1467-937X.2008.00501.x,Production Technology,2008
RES,Expectation Traps and Monetary PolicyGet access Arrow,https://doi.org/10.1111/1467-937X.00264,Production Technology,2003
RES,Identifying Sorting—In TheoryGet access Arrow,https://doi.org/10.1093/restud/rdq034,Production Technology,2011
RES,Nonergodic Economic GrowthGet access Arrow,https://doi.org/10.2307/2298061,Production Technology,1993
RES,Energy and Resource Allocation: A Dynamic Model of the “Dutch Disease”Get access Arrow,https://doi.org/10.2307/2297191,Production Technology,1982
RES,A Model of TFPGet access Arrow,https://doi.org/10.1111/j.1467-937X.2006.00405.x,Production Technology,2006
RES,Do The Effects of Nudges Persist? Theory and Evidence from 38 Natural Field ExperimentsGet access Arrow,https://doi.org/10.1093/restud/rdag012,Production Technology,2026
RES,Incentives and Loss of Control in an Optimal HierarchyGet access Arrow,https://doi.org/10.2307/2297902,Production Technology,1994
RES,Majority Voting and Corporate Control: The Rule of the Dominant ShareholderGet access Arrow,https://doi.org/10.2307/2298132,Production Technology,1993
RES,Pecuniary Externalities in Economies with Financial FrictionsGet access Arrow,https://doi.org/10.1093/restud/rdx010,Production Technology,2017
