Journal,Title,Link,Category
QJE,Upcoding: Evidence from Medicare on Squishy Risk Adjustment,6,Short Panels
QJE,,y,Short Panels
QJE,"Inequality, Heterogeneity, and Consumption in the Journal of Political Economy",4,Short Panels
QJE,"Estimation of a Life-Cycle Model with Human Capital, Labor Supply, and Retirement",5,Short Panels
QJE,Is Consumption Growth Consistent with Intertemporal Optimization? Evidence from the Consumer Expenditure Survey,7,Short Panels
QJE,The Great Leap Forward: Anatomy of a Central Planning Disaster,7,Short Panels
QJE,Tax Rates and Tax Evasion: Evidence from “Missing Imports” in China,6,Short Panels
QJE,Heterogeneity and Tests of Risk Sharing,8,Short Panels
QJE,"Interim Rank, Risk Taking, and Performance in Dynamic Tournaments",3,Short Panels
QJE,Strategic Mass Killings,2,Short Panels
QJE,Collective Brand Reputation,8,Short Panels
QJE,Micro and Macro Effects of Unemployment Insurance Policies: Evidence from Missouri,3,Short Panels
QJE,"Specific Capital, Mobility, and Wages: Wages Rise with Job Seniority",6,Short Panels
QJE,The Effect of Rent Control on Housing Quality Change: A Longitudinal Analysis,8,Short Panels
QJE,Consequences of Employment Protection? The Case of the Americans with Disabilities Act,7,Short Panels
QJE,On the Identification of Gross Output Production Functions,6,Short Panels
QJE,"People Management Skills, Employee Attrition, and Manager Rewards: An Empirical Analysis",5,Short Panels
QJE,Curriculum and Ideology,2,Short Panels
QJE,Careers in Firms: The Role of Learning about Ability and Human Capital Acquisition,3,Short Panels
QJE,It Takes a Village: The Economics of Parenting with Neighborhood and Peer Effects,5,Short Panels
QJE,Disease and Development: The Effect of Life Expectancy on Economic Growth,5,Short Panels
