Journal,Title,Link,Category
QJE,Manufacturing Revolutions: Industrial Policy and Industrialization in South Korea Open Access,https://doi.org/10.1093/qje/qjaf025,Short Panels
QJE,Job Mobility and the Careers of Young Men Purchased,https://doi.org/10.2307/2118478,Short Panels
QJE,Testing the Response of Consumption to Income Changes with (Noisy) Panel Data Purchased,https://doi.org/10.2307/1885065,Short Panels
QJE,Do Labor Market Opportunities Affect Young Women's Work and Family Decisions? Experimental Evidence from India Purchased,https://doi.org/10.1093/qje/qjs002,Short Panels
QJE,The Creation and Capture of Rents: Wages and Innovation in a Panel of U. K. Companies Purchased,https://doi.org/10.2307/2946662,Short Panels
QJE,Unconditional Convergence in Manufacturing Purchased,https://doi.org/10.1093/qje/qjs047,Short Panels
QJE,Radio's Impact on Public Spending Purchased,https://doi.org/10.1162/003355304772839560,Short Panels
QJE,The Impact of Young Workers on the Aggregate Labor Market Purchased,https://doi.org/10.1162/00335530152466287,Short Panels
QJE,Dividend Taxes and Corporate Behavior: Evidence from the 2003 Dividend Tax Cut Purchased,https://doi.org/10.1093/qje/120.3.791,Short Panels
QJE,A Theory of Wage and Promotion Dynamics Inside Firms Purchased,https://doi.org/10.1162/003355399556287,Short Panels
QJE,Fight or Flight? Portfolio Rebalancing by Individual Investors Purchased,https://doi.org/10.1162/qjec.2009.124.1.301,Short Panels
QJE,The Rise of Domestic Outsourcing and the Evolution of the German Wage Structure Purchased,https://doi.org/10.1093/qje/qjx008,Short Panels
QJE,"Decision Making Under the Gambler’s Fallacy: Evidence from Asylum Judges, Loan Officers, and Baseball Umpires Open Access",https://doi.org/10.1093/qje/qjw017,Short Panels
QJE,Socially Optimal Districting: A Theoretical and Empirical Exploration Purchased,https://doi.org/10.1162/qjec.2007.122.4.1409,Short Panels
QJE,The Geography of Unemployment Purchased,https://doi.org/10.1093/qje/qjad010,Short Panels
