Journal,Title,Link,Category,Year
RES,﻿Estimating Distributed Lags in Short Panels with an Application to the Specification of Depreciation Patterns and Capital Stock Constructs,https://doi.org/10.2307/2297690,Short Panels,1984
RES,"Assessing the Equalizing Force of Mobility Using Short Panels: France, 1990–2000",https://doi.org/10.1111/j.1467-937X.2008.00521.x,Short Panels,2009
RES,The Effect of Work Experience on Female Wages and Labour Supply,https://doi.org/10.1111/1467-937X.00035,Short Panels,1998
RES,Orthogonal Parameters and Panel Data,https://doi.org/10.1111/1467-937X.t01-1-00025,Short Panels,2002
RES,Estimating Intertemporal Allocation Parameters using Synthetic Residual Estimation,https://doi.org/10.1111/j.1467-937X.2010.00607.x,Short Panels,2010
RES,Journal Article,https://doi.org/10.2307/restud/51.4.701,Short Panels,1984
RES,Estimation with Aggregate Shocks,https://doi.org/10.1093/restud/rdz016,Short Panels,2019
RES,Testing for Autocorrelation in Dynamic Random Effects Models,https://doi.org/10.2307/2297546,Short Panels,1990
RES,Split-panel Jackknife Estimation of Fixed-effect Models,https://doi.org/10.1093/restud/rdv007,Short Panels,2015
RES,Revisiting Event-Study Designs: Robust and Efficient Estimation ,https://doi.org/10.1093/restud/rdae007,Short Panels,2024
RES,Demand and Welfare Analysis in Discrete Choice Models with Social Interactions ,https://doi.org/10.1093/restud/rdad053,Short Panels,2023
RES,Estimating Production Functions Using Inputs to Control for Unobservables,https://doi.org/10.1111/1467-937X.00246,Short Panels,2003
RES,Identification and Panel Data Models with Endogenous Regressors,https://doi.org/10.2307/2298050,Short Panels,1991
RES,Deforestation in the Amazon: A Unified Framework for Estimation and Policy Analysis,https://doi.org/10.1093/restud/rdy070,Short Panels,2018
RES,Dynamic Labour Force Participation of Married Women and Endogenous Work Experience,https://doi.org/10.2307/2297553,Short Panels,1989
RES,"Immigration, Wages, and Education: A Labour Market Equilibrium Structural Model",https://doi.org/10.1093/restud/rdx053,Short Panels,2017
RES,Identifying Sorting—In Theory,https://doi.org/10.1093/restud/rdq034,Short Panels,2011
RES,Claim Timing and Ex Post Adverse Selection,https://doi.org/10.1093/restud/rdw022,Short Panels,2016
RES,"Political Competition, Policy and Growth: Theory and Evidence from the US",https://doi.org/10.1111/j.1467-937X.2010.00606.x,Short Panels,2010
RES,"Farther on down the Road: Transport Costs, Trade and Urban Growth in Sub-Saharan Africa",https://doi.org/10.1093/restud/rdw020,Short Panels,2016
RES,International Trade and Currency Exchange,https://doi.org/10.1111/1467-937X.00176,Short Panels,2001
RES,Estimating the Costs of Standardization: Evidence from the Movie Industry,https://doi.org/10.1093/restud/rdac036,Short Panels,2022
RES,"Back to Basics: Basic Research Spillovers, Innovation Policy, and Growth",https://doi.org/10.1093/restud/rdaa061,Short Panels,2020
RES,R&D and Productivity: Estimating Endogenous Productivity,https://doi.org/10.1093/restud/rdt011,Short Panels,2013
RES,Identifying Network Ties from Panel Data: Theory and an Application to Tax Competition ,https://doi.org/10.1093/restud/rdae088,Short Panels,2024
RES,Journal Article,https://doi.org/10.1093/restud/56.4.1,Short Panels,1989
RES,Political Cycles in OECD Economies,https://doi.org/10.2307/2297992,Short Panels,1992
RES,"Market Share, Market Value and Innovation in a Panel of British Manufacturing Firms",https://doi.org/10.1111/1467-937X.00097,Short Panels,1999
RES,Monetary Policy when Households have Debt: New Evidence on the Transmission Mechanism,https://doi.org/10.1093/restud/rdy074,Short Panels,2019
RES,Does Income Inequality Lead to Consumption Inequality? Evidence and Theory,https://doi.org/10.1111/j.1467-937X.2006.00373.x,Short Panels,2006
RES,Household Intertemporal Behaviour: A Collective Characterization and a Test of Commitment,https://doi.org/10.1111/j.1467-937X.2007.00447.x,Short Panels,2007
RES,Education and the Margins of Cyclical Adjustment in the Labor Market,https://doi.org/10.1093/restud/rdag002,Short Panels,2026
RES,Quasi-Experimental Shift-Share Research Designs,https://doi.org/10.1093/restud/rdab030,Short Panels,2021
RES,Which Investors Matter for Equity Valuations and Expected Returns?,https://doi.org/10.1093/restud/rdad083,Short Panels,2023
RES,The Real Effects of Monetary Expansions: Evidence from a Large-scale Historical Experiment,https://doi.org/10.1093/restud/rdab042,Short Panels,2021
RES,Globalization and the Ladder of Development: Pushed to the Top or Held at the Bottom?,https://doi.org/10.1093/restud/rdaf077,Short Panels,2025
RES,The Lifetime Costs of Bad Health,https://doi.org/10.1093/restud/rdae080,Short Panels,2024
RES,Subsidizing Labour Hoarding in Recessions: The Employment and Welfare Effects of Short-time Work ,https://doi.org/10.1093/restud/rdac069,Short Panels,2022
RES,Tax Policy and Lumpy Investment Behaviour: Evidence from China’s VAT Reform,https://doi.org/10.1093/restud/rdac027,Short Panels,2022
RES,"Religion, Education, and the State ",https://doi.org/10.1093/restud/rdaf071,Short Panels,2025
