Journal,Title,Link,Category
QJE,﻿The Use of Cross-Section Microdata in Life Cycle Models: An Application to Inequality Theory in Nonstationary EconomiesGet access Arrow[a],https://doi.org/10.2307/1882392,Surrogates
QJE,“The Demand for Money: A Cross-Section Study of Business Firms”: Comment,https://doi.org/10.2307/1880521,Surrogates
QJE,“The Demand for Money: A Cross-Section Study of Business Firms”: Reply,https://doi.org/10.2307/1880523,Surrogates
QJE,The Unimportance of Reswitching,https://doi.org/10.2307/1881707,Surrogates
QJE,Rejoinder,https://doi.org/10.2307/1881845,Surrogates
QJE,"Technology, Profit Risk, and Assessments of Market Performance",https://doi.org/10.2307/1880803,Surrogates
QJE,Reply,https://doi.org/10.2307/1880824,Surrogates
QJE,"Capital Heterogeneity, Aggregation, and the Two-Sector Model",https://doi.org/10.2307/1881713,Surrogates
QJE,Social and Economic Legislation of the States in 1894,https://doi.org/10.2307/1885600,Surrogates
QJE,Risk and Corporate Rates of Return: Reply,https://doi.org/10.2307/1885938,Surrogates
QJE,The Neoclassical Postulate and the Technology Frontier in Capital Theory,https://doi.org/10.2307/1881941,Surrogates
QJE,The Speed of Response of Firms to New Techniques,https://doi.org/10.2307/1884404,Surrogates
QJE,A Test of the Friedman-Savage Gambling Model,https://doi.org/10.2307/1882394,Surrogates
QJE,Economic Aspects of Adulteration and Imitation,https://doi.org/10.2307/1883920,Surrogates
QJE,Consumer Demand and Equilibrium Unemployment in a Working Model of the Customer-Market Incentive-Wage Economy,https://doi.org/10.2307/2118372,Surrogates
QJE,A Nonsubstitution Theorem and Switching of Techniques,https://doi.org/10.2307/1880514,Surrogates
QJE,Benefit-Cost Analysis: Its Relevance to Public Investment Decisions,https://doi.org/10.2307/1880690,Surrogates
QJE,Interfirm Profitability Differences: Comment,https://doi.org/10.2307/1885889,Surrogates
QJE,Wealth and Wealth Proxies in a Permanent Income Model,https://doi.org/10.2307/1885091,Surrogates
QJE,A Model of Short-Run Bank Behavior,https://doi.org/10.2307/1881842,Surrogates
QJE,New Union Organizing: A Test of the Ashenfelter-Pencavel Model of Trade Union Growth,https://doi.org/10.2307/1883073,Surrogates
QJE,Steady-State and Transient Relations: A Reply on Reswitching,https://doi.org/10.2307/1881708,Surrogates
QJE,The Nature and Implications of the Reswitching of Techniques,https://doi.org/10.2307/1882914,Surrogates
QJE,"An Annual Index of U. S. Industrial Production, 1790–1915",https://doi.org/10.1162/0033553042476143,Surrogates
QJE,Diversifying Society’s Leaders? The Determinants and Causal Effects of Admission to Highly Selective Private Colleges,https://doi.org/10.1093/qje/qjaf050,Surrogates
QJE,The Firm Decision Process: An Econometric Investigation,https://doi.org/10.2307/1879673,Surrogates
QJE,The Badly Behaved Production Function,https://doi.org/10.2307/1885579,Surrogates
QJE,Rate-of-Return Regulation and Two-Part Tariffs,https://doi.org/10.2307/1882625,Surrogates
QJE,Switching and Reswitching in a General Production Model,https://doi.org/10.2307/1885456,Surrogates
QJE,Annual Inequality and Lifetime Inequality,https://doi.org/10.2307/1885571,Surrogates
QJE,The Theory of Relative Shares,https://doi.org/10.2307/1879656,Surrogates
QJE,The Optimal Consumption of Depletable Natural Resources,https://doi.org/10.2307/1885258,Surrogates
QJE,Valuing the Global Mortality Consequences of Climate Change Accounting for Adaptation Costs and Benefits Free,https://doi.org/10.1093/qje/qjac020,Surrogates
QJE,"Bank Portfolio Allocation, Deposit Variability, and the Availability Doctrine",https://doi.org/10.2307/1880516,Surrogates
QJE,The Long-Term Effects of Universal Preschool in Boston,https://doi.org/10.1093/qje/qjac036,Surrogates
QJE,Two-Sector Growth with Endogenous Technical Change: A Marxian Simulation Model,https://doi.org/10.2307/2936140,Surrogates
QJE,Walrasian Economics in Retrospect,https://doi.org/10.1162/003355300555006,Surrogates
QJE,Intermediate Products and Differential Tariffs: A Generalization of Lerner's Symmetry Theorem,https://doi.org/10.2307/1882917,Surrogates
QJE,Does Market Experience Eliminate Market Anomalies?,https://doi.org/10.1162/00335530360535144,Surrogates
QJE,Contracts as Reference Points,https://doi.org/10.1162/qjec.2008.123.1.1,Surrogates
QJE,Optimal Dividends and Corporate Growth under Uncertainty,https://doi.org/10.2307/1880545,Surrogates
QJE,"Identity, Morals, and Taboos: Beliefs as Assets",https://doi.org/10.1093/qje/qjr002,Surrogates
QJE,The Effect of Fixed Exchange Rates on Monetary Policy,https://doi.org/10.1162/003355304772839605,Surrogates
QJE,Answering the Call of Automation: How the Labor Market Adjusted to Mechanizing Telephone Operation,https://doi.org/10.1093/qje/qjae005,Surrogates
QJE,Does Directed Innovation Mitigate Climate Damage? Evidence from U.S. Agriculture,https://doi.org/10.1093/qje/qjac039,Surrogates
QJE,Representation and Extrapolation: Evidence from Clinical Trials Open Access,https://doi.org/10.1093/qje/qjad036,Surrogates
