Journal,Title,Link,Category
RES,﻿The Surrogate Index: Combining Short-Term Proxies to Estimate Long-Term Treatment Effects More Rapidly and Precisely,https://doi.org/10.1093/restud/rdaf087,Surrogates
RES,Parable and Realism in Capital Theory: The Surrogate Production Function,https://doi.org/10.2307/2295954,Surrogates
RES,Some Notes on the Surrogate Production Function,https://doi.org/10.2307/2296520,Surrogates
RES,Technical Change and the Measurement of Capital and Output,https://doi.org/10.2307/2295836,Surrogates
RES,The Structure of the Cost of Capital under Uncertainty,https://doi.org/10.2307/2296388,Surrogates
RES,"Heterogeneous Capital, the Production Function and the Theory of Distribution",https://doi.org/10.2307/2296729,Surrogates
RES,Journal Article,https://doi.org/10.1093/restud/29.4.i,Surrogates
RES,A Measure of Capital,https://doi.org/10.2307/2296320,Surrogates
RES,The Portfolio Balance Theory of the Expected Rate of Change of Prices: Comment,https://doi.org/10.2307/2296591,Surrogates
RES,Journal Article,https://doi.org/10.2307/restud/39.4.i,Surrogates
RES,Marginal Productivity and the MacroEconomic Theories of Distribution: Reply to Pasinetti and Robinson,https://doi.org/10.2307/2974429,Surrogates
RES,Information Reliability and a Theory of Financial Intermediation,https://doi.org/10.2307/2297431,Surrogates
RES,A Model of Wage-Price Inflation,https://doi.org/10.2307/2297105,Surrogates
RES,An Asymptotic Theory of Growth Under Uncertainty,https://doi.org/10.2307/2296851,Surrogates
RES,Fundamental Duality Relations in the Pure Theory of Capital and Growth,https://doi.org/10.2307/2296341,Surrogates
RES,The Child Penalty Atlas,https://doi.org/10.1093/restud/rdae104,Surrogates
RES,State Preference and the Riskless Interest Rate: A Markov Model of Capital Markets,https://doi.org/10.2307/2297012,Surrogates
RES,The Econometrics of Growth and Underdevelopment: A Test of the Dual Hypotheses,https://doi.org/10.2307/2297344,Surrogates
RES,Notes on the Determinateness of the Utility Function: II,https://doi.org/10.2307/2967553,Surrogates
RES,On the Service Flow from Labour,https://doi.org/10.2307/2296738,Surrogates
RES,The Explanation of Productivity Change,https://doi.org/10.2307/2296675,Surrogates
RES,A Life Cycle Model of Female Labour Supply,https://doi.org/10.2307/2297103,Surrogates
RES,"The Factor-Price Frontier, Duality and Joint Production",https://doi.org/10.2307/2296494,Surrogates
RES,Investment and the Optimal Idleness of Capital,https://doi.org/10.2307/2296759,Surrogates
RES,The Demand for Money and Monetary Adjustments in Chile,https://doi.org/10.2307/2296676,Surrogates
RES,"Consumer Misperceptions, Product Failure and Producer Liability",https://doi.org/10.2307/2296908,Surrogates
RES,The Short-run Demand for Workers and Hours: A Recursive Model,https://doi.org/10.2307/2297345,Surrogates
RES,The Pasinetti Paradox in Neoclassical and More General Models,https://doi.org/10.2307/2974425,Surrogates
RES,Technical Change and Capital from the Point of View of the Dual,https://doi.org/10.2307/2974405,Surrogates
RES,Empirical Tests for the Existence of Group Utility Functions,https://doi.org/10.2307/2297033,Surrogates
RES,Dynamic Duopoly: Prices and Quantities,https://doi.org/10.2307/2297443,Surrogates
RES,Matching and Bargaining in Dynamic Markets,https://doi.org/10.2307/2297527,Surrogates
RES,Estimation of a Vintage Capital Model for Electricity Generating,https://doi.org/10.2307/2297251,Surrogates
RES,Traditional Capital Theory,https://doi.org/10.2307/2296061,Surrogates
RES,A Two-Level Constant-Elasticity-of-Substitution Production Function,https://doi.org/10.2307/2296809,Surrogates
RES,Disequilibrium Dynamics of Competitive Growth Paths,https://doi.org/10.2307/2296685,Surrogates
RES,The Multiperiod Principal-Agent Problem,https://doi.org/10.2307/2297391,Surrogates
RES,Learning-by-Doing and Infant Industry Protection,https://doi.org/10.2307/2296497,Surrogates
RES,Learning-by-Doing and Infant Industry Protection,https://doi.org/10.2307/2296497,Surrogates
RES,The Duality of Technology and Economic Behaviour,https://doi.org/10.2307/2296712,Surrogates
RES,More Data or Better Data? A Statistical Decision Problem,https://doi.org/10.1093/restud/rdx005,Surrogates
RES,Inverse Probability Tilting for Moment Condition Models with Missing Data,https://doi.org/10.1093/restud/rdr047,Surrogates
RES,Cross-Border Mergers as Instruments of Comparative Advantage,https://doi.org/10.1111/j.1467-937X.2007.00466.x,Surrogates
RES,Quality Sorting and Trade: Firm-level Evidence for French Wine,https://doi.org/10.1093/restud/rdr030,Surrogates
RES,Measuring Diffusion Over a Large Network,https://doi.org/10.1093/restud/rdad115,Surrogates
